Abbreviation/Shorthand,Meaning,More Info
2019-nCoV,2019 Novel Coronavirus,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2
2VD,two vessels disease,
3DCRT,three-dimensional conformal radiotherapy,
3VD,three vessels diseases,
5-ALA,5-aminolevulinic acid,https://en.wikipedia.org/wiki/Aminolevulinic_acid
5-FU,fluorouracil 5%,https://en.wikipedia.org/wiki/Fluorouracil
6-MP,mercaptopurine,https://en.wikipedia.org/wiki/Mercaptopurine
6MWD,six-minute walking distance,
A-aDO2,alveolar arterial O2 difference of each,
A-F,aortofemoral,
A-T,Ataxia-Telangiectasia,
A&O,alert and oriented,
A&W,alive and well,
A2,aortic component of second heart sound,
AA,alopecia areata,
aa,amino acid,https://en.wikipedia.org/wiki/Amino_acid
AA&O,"awake, alert, and oriented",
AAA,Abdominal Aortic Aneurysm,
AAG,autoimmune autonomic ganglionopathy,
AAGSV,anterior accessory great saphenous vein,
AAO,American Academy of Ophthalmology,
AAROM,active assisted range of motion,
AASLD,American Association for the Study of Liver Disease,https://www.aasld.org
AAST,American Association for the Surgery of Trauma,
AAV,adeno-associated virus,
AB,abortion,
AB,antibody,https://simple.wikipedia.org/wiki/Antibody
ABA,applied behavior analysis,https://en.wikipedia.org/wiki/Applied_behavior_analysis
ABAS-3,"Adaptive Behavior Assessment System, Third Edition",
Abd,abdomen,
ABD,albumin-binding domain,
abd gr,abdominal girth,
ABG,arterial blood gas,
ABG,Autogenous Bone Graft,
ABI,Ankle Brachial Index,
ABIC,"age, serum bilirubin, international normalized ratio, and serum creatinine",
ABLA,acute blood loss anemia,
ABLLS-R,"Assessment of Basic Language and Learning Skills, Revised",
ABP,arterial blood pressure,
ABPA,allergic bronchopulmonary aspergillosis,
ABx,antibiotic(s),
AC,acromioclavicular,
AC,Adriamycin + Cytoxan,
AC,alcoholic cirrhosis,
AC,assist control,
AC,adrenal cortex,
AC,axiocervical,
ac,before meals,
AC,anticoagulation,
ACC,American College of Cardiology,
ACD,Anterior Cervical Discectomy,
ACDF,Anterior Cervical Decompression & Fusion,
ACE,Angiotensin Converting Enzyme,
ACE-I,Angiotensin Converting Enzyme Inhibitor,
ACE2,angiotensin-converting enzyme 2,
ACI,Autologous Cartilage Implantation,
ACL,anterior cruciate ligament,
ACLS,advanced cardiac life support,
ACOG,American College of Obstetricians and Gynecologists,
ACP,American College of Physicians,
ACR,American College of Radiology,https://www.acr.org/
ACR,Anterior Column Realignment,
ACS,Administration for Children’s Services,
ACS,Abdominal Compartment Syndrome,
ACS,acute coronary syndrome,
ACS,American College of Surgeons,
ACS,abnormally contracting segments,
ACT,Activating Clotting Time,
ACT,assertive community treatment,
ACTH,adrenocorticotropic hormone,
ACV,assist control ventilation,
ACVD,arteriosclerotic cardiovascular disease,
AD,Alzheimer's disease,
AD,atopic dermatitis,
AD,right ear,
ADA,adenosine deaminase,
ADD,attention deficit disorder,
ADH,antidiuretic hormone,
ADHD,attention deficit hyperactivity disorder,
ADHF,acute diastolic heart failure,
ADL,activities of daily living,
ADOS-2,"Autism Diagnostic Observation Schedule, Second Edition",
ADP,adenosine diphosphate,
ADR,adverse drug reaction,
ADR,Artificial Disc Replacement,
AdV,adenovirus,
AE,adverse event,
AE,acute exacerbation,
AECOPD,acute exacerbations of chronic obstructive pulmonary disease,
AED,anti-epileptic drug,
AED,automatic external defibrillator,
AET,alternating esotropia,
AF,ancillary feature,
AFAFP,Amniotic Fluid Alpha-Fetoprotein,
AFB,acid fast bacillus,
AFB,acid fast bacterium,
Afeb,afebrile,
AFIB,atrial fibrillation,
AFL,atrial flutter,
AFLS,Assessment of Functional Living Skills,
AFO,ankle foot orthosis,
AFP,alpha-fetoprotein,
AFT,Autologous Fat Transfer,
AFV,amniotic fluid volume,
AGA,appropriate for gestational age,
AGB,Adjustable Gastric Banding,
AGE,acute gastroenteritis,
AH,alcoholic hepatitis,
AH,abductor hallucis,
AHI,apnea-hypopnea index,
AI,aortic insufficiency,
AI,apnea index,
AIBV,Avian Infectious Bronchitis Virus,
AICD,automatic implantable cardioverter defibrillator,
AIDP,Acute Inflammatory Demyelinating Polyneuropathy,
AIDS,acquired immune deficiency syndrome,
AIED,Autoimmune Inner Ear Disease,
AIS,acute ischemic stroke,
AIS,ASIA impairment scale,
AIUM,American Institute of Ultrasound in Medicine,
AJ,ankle jerk,
AJCC,American Joint Committee on Cancer,
AK,actinic keratosis,
AK,above knee,
AK,Arcuate keratotomy,
AKA,above knee amputation,
AKI,acute kidney injury,
ALA,5-aminolevulinic acid,
ALA-PDT,5-aminolevulinic acid-mediated photodynamic therapy,
Alb,albumin,
ALD,Assistive Listening Device,
ALDH,aldehyde dehydrogenase,
ALF,acute liver failure,
ALI,Acute Limb Ischemia,
ALI,acute lung injury,
ALIF,Anterior Lumbar Interbody Fusion,
ALK,anaplastic lymphoma kinase,
Alk phos,alkaline phosphatase,
ALL,acute lymphocytic leukemia,
ALL,allergies,
ALNT,Autologous Lymph Node Transfer,
ALP,alkaline phosphatase,
ALS,advanced life support,
ALS,amyotrophic lateral sclerosis,
ALT,alanine aminotransferase,
ALTE,Apparent Life-Threatening Event,
AMA,antimitochondrial antibody,
AMA,against medical advice,
AMA,advanced maternal age,
amb,ambulate,
AMC-BAL,Amsterdam Medical Center bioartificial liver,
AMD,aging macular degeneration,
AMH,anti-mullerian hormone,
AMI,acute myocardial infarction,
AML,acute myelogenous leukemia,
AMLS,advanced medical life support,
AMML,acute myelomonocytic leukemia,
AMP,amphetamine,
amp,ampule,
AMS,altered mental status,
ANA,antinuclear antibody,
anast,anastomosis,
ANC,absolute neutrophil count,
ANED,alive no evidence of disease,
ANF,atrial natriuretic factor,
ANOVA,analysis of variance,
ANP,atrial natriuretic peptide,
ant,anterior,
Ao,aorta,
AOB,Aortic Occlusion Balloon,
AOB,assignment of benefits,
AOCD,Anemia of Chronic Disease,
AOD,atlanto-occipital dislocation,
AODM,adult-onset diabetes mellitus,
AOM,Acute Otitis Media,
AOT,Assisted Outpatient Treatment,
AP,abdomen/pelvis,
AP,attending physician,
AP,anteroposterior,
AP-MS,affinity-purification mass spectrometry,
APAAP,alkaline phosphatase monoclonal anti-alkaline phosphatase,
APAP,autotitrating positive airway pressure,
APAP,acetaminophen,
APC,adenomatous polyposis coli,
APC,atrial premature contraction,
APCD,advanced pneumatic compression device,
APD,Automated Peritoneal Dialysis,
APD,Auditory Processing Disorder,
APHE,arterial phase hyperenhancement,
APL,abductor pollicis longus,
APR,Abdominal Perineal Resection,
APRV,airway pressure release ventilation,
aPTT,activated partial thromboplastin,
AQ,aquapheresis,
AQLQ,Asthma Quality of Life Questionnaire,
AR,Allergic Rhinitis,
AR,aortic regurgitation,
ARA,accessory renal arteries,
ARA,arachidonic acid,
ARAG,autosomal recessive agammaglobulinemia,
ARB,angiotensin II receptor blocker,
ARDS,acute respiratory distress syndrome,
ARF,acute renal failure,
ARF,acute rheumatic fever,
AROM,artificial rupture of membranes,
ART,Antiretroviral Therapy,
ARV,antiretroviral,
AS,ankylosing spondylitis,
AS,aortic stenosis,
ASA,acetylsalicylic acid (aspirin),
ASA,American Society of Anesthesiologists,
ASAM,American Society of Addiction Medicine,
ASCVD,atherosclerotic cardiovascular disease,
ASD,Adult Spinal Deformity,
ASD,atrial septal defect,
ASD,autism spectrum disorder,
ASHD,arteriosclerotic heart disease,
ASHF,acute systolic heart failure,
ASM,airway smooth muscle,
ASMA,Anti Smooth Muscle Antibody,
ASO,Anterior Segmental Osteotomy,
ASO,Antistreptolysin O,
ASRM,American Society for Reproductive Medicine,
AST,aspartate aminotransferase,
ASU,ambulatory surgery unit,
ASVD,atrioventricular septal defect,
ASVD,Arteriosclerotic Vascular Disease,
AT,alopecia totalis,
AT,anterior tibial,
AT/RT,atypical teratoid/rhabdoid tumor,
ATA,atrial tachyarrhythmia,
ATACH,atrial tachycardia,
ATEC,Autism Treatment Evaluation Checklist,
ATFL,anterior talofibular ligament,
ATG,anti-thymocyte globulin,
ATI,antibodies to Infliximab,
ATK,above the knee,
ATM,Ataxia-Telangiectasia mutation,
ATN,acute tubular necrosis,
ATN,atubular necrosis,
ATOMAC,Arizona-Texas-Oklahoma-Memphis-Arkansas Consortium,
ATP,adenosine triphosphate,
ATR,achilles tendon rupture,
AU,alopecia universalis,
AUA,American Urological Association,
AUC,area under the curve,
AUD,alcohol use disorder,
AUDIT,Alcohol Use Disorders Inventory Test,
AUI,Aorto-Uni-Iliac,
AV,arteriovenous,
AV,atrioventricular,
AVB,Aortic Valve Bypass,
AVD,atrioventricular dissociation,
aVF,augmented vector foot,
AVF,arteriovenous fistula,
AVI,automatic volume infusion pump,
AVM,arteriovenous malformation,
AVNRT,atrioventricular nodal reentrant tachycardia,
AVP,arginine vasopressin,
AVR,aortic valve replacement,
AVRMVR,aortic valve repair or replacement mitral valve repair or replacement,
AVSS,"afebrile, vital signs stable",
AVWS,acquired von Willebrand syndrome,
AWL,after weight loss,
AWR,Abdominal Wall Reconstruction,
Ax-fem,Axillo‐Femoral,
AXR,abdominal x-ray,
AXT,alternating exotropia,
B-ALL,B-cell acute lymphoblastic leukemia,
BA,blood alcohol,
BAC,blood alcohol concentration,
BAHA,Bone Anchored Hearing Aid,
BAK,benzalkonium chloride,
BAL,bronchoalveolar lavage,
BAL,blood alcohol level,
BB-AVF,brachiobasilic arteriovenous fistula,
BBB,blood-brain barrier,
BBB,bundle branch block,
BCBA,board-certified behavior analyst,
BCC,basal cell carcinoma,
BCG,Bacillus Calmette-Guerin,
BCP,birth control pills,
BCRL,breast cancer-related lymphedema,
BCS,breast-conserving surgery,
BD,bile duct,
BD,bronchodilator,
BE,barium enema,
bEVAR,branched endovascular aneurysm repair,
BG,blood glucose,
BIBEMS,brought in by emergency medical services,
BID,twice daily,
