Abbreviation/Shorthand,Meaning,More Info
C DIFF,Clostridium difficile,
C/B,complicated by,
C/O,complaint of,
c/w,consistent with,
C&S,culture and sensitivity,
C1,first cervical spine vertebra,
C2,second cervical spine vertebra,
C3,third cervical spine vertebra,
C4,fourth cervical spine vertebra,
C5,fifth cervical spine vertebra,
C6,sixth cervical spine vertebra,
C7,seventh cervical spine vertebra,
CA,calcium,
CA,cancer,
CA,chronological age,
CA,catheter ablation,
CA-125,cancer antigen 125,
CAA,cerebral amyloid angiopathy,
CAB,coronary artery bypass,
cAb,core antibody,
CABG,coronary artery bypass graft,
CaCO3,calcium carbonate,
CAD,coronary artery disease,
CAD-3,three-vessel coronary artery disease,
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy,
CAG,coronary angiography,
CAH,chronic active hepatitis,
CAH,congenital adrenal hyperplasia,
cAMP,cyclic adenosine monophosphate,
CAP,community acquired pneumonia,
CAP,Competitive Acquisition Program,
CAP,prostate cancer,
CAP,College of American Pathologists,
CAR,cancer-associated retinopathy,
CAR-T,chimeric antigen receptor T-cell,
CARS,Childhood Autism Rating Scale,
CASL-2,"Comprehensive Assessment of Spoken Language, Second Edition",
CAT,computerized axial tomography,
CAV,cardiac allograft vasculopathy,
CB,Concha bullosa,
CB,compression bandaging,
CBC,complete blood count,
CBCT,cone beam CT,
CBD,Common Bile Duct,
CBD,cannabidiol,
CBF,cerebral blood flow,
CBI,Catheter Based Intervention,
CBI,continuous bladder irrigation,
CBT,cognitive behavioral therapy,
CC,chief complaint,
cc,cubic centimeter,
CCA,C. difficile cytotoxicity assay,
CCC,complete concentric collapse,
CCJ,craniocervical junction,
CCK,cholecystokinin,
CCl4,carbon tetrachloride,
CCP,cardiac catheterization procedure,
CCPDMA,complete circumferential peripheral and deep margin assessment,
CCR7,C-C chemokine receptor type 7,
CCRCC,clear cell renal cell carcinoma,
CCS grade,Canadian Cardiovascular Society grade,
CCTA,coronary computed tomography angiography,
CD,Crohn's disease,
CD20,cluster of differentiation 20,
CD4,cluster of differentiation 4,
CDAI,Crohn's disease activity index,
CDC,Centers for Disease Control and Prevention,
CDDP,cisplatin,
CDEIS,Crohn’s disease index of severity,
CDH,congenital diaphragmatic hernia,
CDH,chronic daily headache,
CDHIS,Crohn's Disease Histological Index of Severity,
CDI,Clostridium difficile infection,
CDK,cyclin-dependent kinase,
CDMR,Cesarean Delivery at Maternal Request,
cDNA,complementary DNA,
cDNA-AFLP,cDNA-amplified restriction fragment–length polymorphism,
