Abbreviation/Shorthand,Meaning,More Info
2D-RT,two-dimensional radiotherapy,
2VD,two vessels disease,
3D-CRT,three-dimensional conformal radiotherapy,
3DCRT,three-dimensional conformal radiotherapy,
3VD,three vessels diseases,
5-ALA,5-aminolevulinic acid,https://en.wikipedia.org/wiki/Aminolevulinic_acid
5-ASA,mesalamine,
5-FU,fluorouracil 5%,https://en.wikipedia.org/wiki/Fluorouracil
5-HIAA,5-hydroxyindoleacetic acid ,
5ARI,5-alpha reductase inhibitor,
5HT,5-hydroxytryptamine,
6-MP,mercaptopurine,https://en.wikipedia.org/wiki/Mercaptopurine
6MWD,six-minute walking distance,
A-A,atlanto-axial joint,
A-a gradient,alveolar-arterial gradient,
A-aDO2,alveolar arterial O2 difference of each,
A-F,aortofemoral,
A-T,Ataxia-Telangiectasia,
A/P,abdomen and pelvis,
A&E,accident and emergency,
A&O,alert and oriented,
A&P,auscultation and percussion,
A&W,alive and well,
A1ATD,alpha-1-antitrypsin deficiency,
A2,aortic component of second heart sound,
AA,alopecia areata,
AA,amino acid,https://en.wikipedia.org/wiki/Amino_acid
AA&O,"awake, alert, and oriented",
AAA,Abdominal Aortic Aneurysm,
AACE,American Association of Clinical Endocrinologists,https://www.aace.com/
AAD,antiarrhythmic drug,
AAG,autoimmune autonomic ganglionopathy,
AAGSV,anterior accessory great saphenous vein,
AAK1,AP2-associated protein kinase 1,
AAO,American Academy of Ophthalmology,
AAOS,American Academy of Orthopaedic Surgeons,
AAP,American Academy of Pediatrics,https://www.aap.org/
AAROM,active assisted range of motion,
AASLD,American Association for the Study of Liver Disease,https://www.aasld.org
AASM,American Academy of Sleep Medicine,https://aasm.org/
AAST,American Association for the Surgery of Trauma,
AASV,anterior accessory saphenous vein,
AAT,Alpha-1-Antitrypsin,
AATD,alpha-1 antitrypsin deficiency,
AATS,American Association for Thoracic Surgery,https://www.aats.org/
AAV,adeno-associated virus,
AB,alpha blocker,
AB,abortion,
AB,antibody,https://simple.wikipedia.org/wiki/Antibody
ABA,applied behavior analysis,https://en.wikipedia.org/wiki/Applied_behavior_analysis
ABAS-3,"Adaptive Behavior Assessment System, Third Edition",
Abd,abdomen,
ABD,albumin-binding domain,
abd gr,abdominal girth,
ABG,arterial blood gas,
ABG,Autogenous Bone Graft,
ABI,Ankle Brachial Index,
ABI,autologous blood injection,
ABIC,"age, serum bilirubin, international normalized ratio, and serum creatinine",
ABLA,acute blood loss anemia,
ABLLS-R,"Assessment of Basic Language and Learning Skills, Revised",
ABP,arterial blood pressure,
ABPA,allergic bronchopulmonary aspergillosis,
ABVD,"Adriamycin, bleomycin, vinblastine, dacarbazine",
ABx,antibiotic(s),
AC,Adriamycin + Cyclophosphamide,
AC,antecubital,
AC,acromioclavicular,
AC,Adriamycin + Cytoxan,
AC,alcoholic cirrhosis,
AC,assist control,
AC,adrenal cortex,
AC,axiocervical,
ac,before meals,
AC,anticoagulation,
ACC,American College of Cardiology,
ACD,attention concentration deficit,
ACD,Anterior Cervical Discectomy,
ACDF,Anterior Cervical Decompression & Fusion,
ACE,Angiotensin Converting Enzyme,
ACE-I,Angiotensin Converting Enzyme Inhibitor,
ACE2,angiotensin-converting enzyme 2,
ACG,American College of Gastroenterology,https://gi.org/
aCGH,array comparative genomic hybridization,
ACI,Autologous Cartilage Implantation,
ACL,anterior cruciate ligament,
ACLR,anterior cruciate ligament reconstruction,
ACLS,advanced cardiac life support,
ACM,arrhythmogenic cardiomyopathy,
ACM,Arnold-Chiari Malformation,
ACOG,American College of Obstetricians and Gynecologists,
ACP,American College of Physicians,
ACR,American College of Radiology,https://www.acr.org/
ACR,Anterior Column Realignment,
ACS,American Cancer Society,
ACS,Administration for Children’s Services,
ACS,Abdominal Compartment Syndrome,
ACS,acute coronary syndrome,
ACS,American College of Surgeons,
ACS,abnormally contracting segments,
ACT,Activating Clotting Time,
ACT,assertive community treatment,
ACTH,adrenocorticotropic hormone,
ACV,assist control ventilation,
ACVD,arteriosclerotic cardiovascular disease,
AD,assistive device,
AD,Alzheimer's disease,
AD,atopic dermatitis,
AD,right ear,
ADA,American Diabetes Association,https://www.diabetes.org/
ADA,American Dental Association,
ADA,antidrug antibody,
ADA,adenosine deaminase,
ADA,adalimumab,
ADD,attention deficit disorder,
ADH,antidiuretic hormone,
ADHD,attention deficit hyperactivity disorder,
ADHF,acute diastolic heart failure,
ADL,activities of daily living,
ADO,adenosine,
ADOS-2,"Autism Diagnostic Observation Schedule, Second Edition",
ADP,adenosine diphosphate,
ADPKD,autosomal dominant polycystic kidney disease,
ADR,adverse drug reaction,
ADR,Artificial Disc Replacement,
ADRB3,β3-adrenergic receptor,
AdV,adenovirus,
AE,adverse event,
AE,acute exacerbation,
AECOPD,acute exacerbations of chronic obstructive pulmonary disease,
AED,anti-epileptic drug,
AED,automatic external defibrillator,
AET,alternating esotropia,
AF,ancillary feature,
AF,atrial fibrillation,
