Abbreviation/Shorthand,Meaning,More Info
B-ALL,B-cell acute lymphoblastic leukemia,
B-OH,beta-hydroxybutyrate,
BA,blood alcohol,
BAC,blood alcohol concentration,
BACM,benign acute childhood myositis,
BAG,Bcl2-associated athanogene,
BAHA,Bone Anchored Hearing Aid,
BAK,benzalkonium chloride,
BAL,bronchoalveolar lavage,
BAL,blood alcohol level,
BALP,bone-specific alkaline phosphatase,
BASC,Behavior Assessment System for Children,
BASDAI,Bath Ankylosing Spondylitis Disease Activity Index,
BaV,basilic vein,
BB-AVF,brachiobasilic arteriovenous fistula,
BBB,blood-brain barrier,
BBB,bundle branch block,
BBR,bacterial breakdown rate,
BC,blood culture,
BCBA,board-certified behavior analyst,
BCC,basal cell carcinoma,
BCG,Bacillus Calmette-Guerin,
BCL,bandage contact lens,
BCP,birth control pills,
BCR,B-cell receptor,
BCRL,breast cancer-related lymphedema,
BCS,breast-conserving surgery,
BCSVA,best spectacle-corrected visual acuity,
BCT,breast-conserving therapy,
BCVA,best corrected visual acuity,
BD,bile duct,
BD,bronchodilator,
BDET,balloon dilation of eustachian tube,
bDMARD,biologic disease-modifying antirheumatic drug,
BDZ,benzodiazepine,
BE,Barrett's esophagus,
BE,barium enema,
BEA,below-elbow amputation,
BET,Balloon Eustachian Tuboplasty,
bEVAR,branched endovascular aneurysm repair,
BFIE,benign familial infantile epilepsy,
BG,blood glucose,
BHB,beta-hydroxybutyrate,
BHR,Birmingham Hip Resurfacing,
BIBEMS,brought in by emergency medical services,
bid,twice daily (bis in die),
BiPAP,bi-level positive airway pressure,
BIS,bioimpedance spectroscopy,
BIV,Biventricular,
BJ,body jacket,
BK,below knee,
BKA,below knee amputation,
BLAF,Behavior Language Assessment Form,
BLC,blue-light cystoscopy,
BLE,bilateral lower extremities,
BLM,"Benadryl, Lidocaine, Maalox",
BLSI,blunt liver and spleen injury,
BM,bone marrow,
BM,bowel movement,
BMA,bone marrow aspirate,
BMAC,Bone Marrow Aspirate Concentrate,
BMC,Bone Marrow Concentrate,
BMD,bone mineral density,
BMI,body mass index,
BML,bone marrow edema-like lesion,
BMP,bone morphogenetic protein,
BMP,basic metabolic panel,
BMR,basal metabolic rate,
BMS,bare metal stent,
BMS,bare metal stent,
BMT,bone marrow transplantation,
BNI,Barrow Neurological Institute,
BNP,brain natriuretic peptide,
BNSFTN,benign non-functioning solid thryoid nodule,
BO,bowel obstruction,
BO,Bilateral Oophorectomy,
BOADICEA,Breast and Ovarian Analysis of Disease Incidence and Carrier Estimation Algorithm,https://www.nature.com/articles/6602175
BOC,biopsy of cervix,
BoNT,botulinum neurotoxin,
BOO,bladder outlet obstruction,
BOOP,Bronchiolitis Obliterans Organizing Pneumonia,
BOTOX,abobotulinumtoxinA,
BP,blood pressure,
BP,benzoyl peroxide,
BPAD,bipolar affective disorder,
BPD,borderline personality disorder,
BPD,bronchopulmonary dysplasia,
BPD/DS,biliopancreatic diversion with duodenal switch,
BPE,benign prostatic enlargement,
BPF,bronchopleural fistula,
BPG,bypass graft,
BPH,benign prostatic hypertrophy,
BPH,benign prostatic hyperplasia,
BPHII,BPH Impact Index,
BPHTN,blood pressure hypertension,
BPLT,BAK-preserved latanoprost-timolol,
BPM,beats per minute,
BPO,benign prostatic obstruction,
BPP,biophysical profile,
BPPV,benign paroxysmal positional vertigo,
BR,bedside rounds,
BR,bed rest,
BRAF,v-Rapidly Accelerated Fibrosarcoma murine sarcoma viral oncogene homolog B,
BRAT,"bananas, rice, apple sauce, and toast (or tea)",
BRB,bright red blood,
BRBPR,bright red blood per rectum,
BRCA,breast cancer gene,https://www.nationalbreastcancer.org/what-is-brca
BRRB,bright red rectal bleeding,
BrS,Brugada syndrome,
BRUE,brief resolved unexplained event,
BrV,brachial vein,
BS,blood sugar,
BS,bowel sounds,
BS,breath sounds,
BSA,body surface area,
BSAP,bone specific alkaline phosphatase,
BSC,best supportive care,
BSC,behavioral specialist consultant,
BSO,bilateral salpingo-oophorectomy,
BSP,balloon sinuplasty,
BSSO,Bilateral Sagittal Split Osteotomy,
BSSRO,bilateral sagittal split ramus osteotomy,
BT,blood transfusion,
BT,bronchial thermoplasty,
BTA,botulinum toxin A,
BTA,Bladder Tumour Antigen,
BTC,biliary tract cancer,
BTFC,brinzolamide/timolol fixed combination,
BTK,below the knee,
BTM,Biodegradable Temporizing Matrix,
BTM,bone turnover marker,
BTN,benign thyroid nodule,
BTP,breakthrough pain,
BU,Bucher,
BUN,blood urea nitrogen,
BV,bacterial vaginosis,
BVAB,bacterial vaginosis-associated bacteria,
BVD,bilateral vestibular dysfunction,
BVN,basivertebral nerve,
BW,birth weight,
Bx,biopsy,
β-MA,β-mercaptoethylamine,
β-ME,β-mercaptoethanol,
