Abbreviation/Shorthand,Meaning,More Info
C diff,Clostridium difficile,
C-ion RT,carbon-ion radiotherapy,
C-peptide,connecting peptide,
C/B,complicated by,
C/O,complaint of,
C/PM,close or positive surgical margin,
c/w,consistent with,
C&S,culture and sensitivity,
C1,first cervical spine vertebra,
C12A,Capsule ER 12 Hour Abuse-Deterrent,
C2,complement component 2,https://en.wikipedia.org/wiki/Complement_component_2
C2,second cervical spine vertebra,
C24A,Capsule ER 24 Hour Abuse-Deterrent,
C2PK,Capsule ER 12 Hour Therapy Pack,
C3,complement component 3,https://en.wikipedia.org/wiki/Complement_component_3
C3,third cervical spine vertebra,
C4,complement component 4,https://en.wikipedia.org/wiki/Complement_component_4
C4,fourth cervical spine vertebra,
C4PK,Capsule ER 24 Hour Therapy Pack,
C5,fifth cervical spine vertebra,
C6,sixth cervical spine vertebra,
C7,seventh cervical spine vertebra,
CA,calcium,
CA,cancer,
CA,carbonic anhydrase,
CA,catheter ablation,
CA,chronological age,
CA-125,cancer antigen 125,
CA19-9,carbohydrate antigen 19-9,https://en.wikipedia.org/wiki/CA19-9
CAA,cerebral amyloid angiopathy,
cAb,core antibody,
CAB,coronary artery bypass,
CABG,coronary artery bypass graft,
CAC,coronary artery calcium,
CaCO3,calcium carbonate,
CAD,computer-aided detection,
CAD,coronary artery disease,
CAD-3,three-vessel coronary artery disease,
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy,
CADD,combined annotation dependent depletion,
CAE,cyanoacrylate embolization,
CAG,coronary angiography,
CAH,chronic active hepatitis,
CAH,congenital adrenal hyperplasia,
CAI,carbonic anhydrase inhibitor,
CALOCUS,Child and Adolescent Level of Care Utilization System,
cAMP,cyclic adenosine monophosphate,
CANVAS,"cerebellar ataxia, neuropathy, vestibular areflexia syndrome",
CAP,College of American Pathologists,
CAP,community acquired pneumonia,
CAP,Competitive Acquisition Program,
CAP,prostate cancer,
CAPA,Capsule Abuse-Deterrent,
CAPS,cryopyrin-associated periodic syndrome ,
CAR,cancer-associated retinopathy,
CAR,chimeric antigen receptor,
CAR-T,chimeric antigen receptor T-cell,
CARS,Childhood Autism Rating Scale,
CART,cartridge,
CAS,clinical activity score,
Cas9,CRISPR associated protein 9,https://en.wikipedia.org/wiki/Cas9
CASII,Child and Adolescent Service Intensity Instrument,
CASL-2,"Comprehensive Assessment of Spoken Language, Second Edition",
CAT,computerized axial tomography,
CATCH,Consult for Addiction Treatment and Care in Hospitals,
CAV,cardiac allograft vasculopathy,
CB,compression bandaging,
CB,Concha bullosa,
CBC,complete blood count,
CBCT,cone beam CT,
CBD,cannabidiol,
CBD,Common Bile Duct,
CBF,cerebral blood flow,
CBI,Catheter Based Intervention,
CBI,continuous bladder irrigation,
CBP,complete blood picture,
CBT,cognitive behavioral therapy,
CBT-I,cognitive behavioral therapy for insomnia,
CBV,cerebral blood volume,
CC,chief complaint,
cc,cubic centimeter,
CCA,C. difficile cytotoxicity assay,
CCA,cholangiocarcinoma,
CCAD,calcified coronary artery disease,
CCB,calcium channel blocker,
CCC,complete concentric collapse,
CCH,chronic cluster headache,
CCHD,critical congenital heart defect,https://www.cdc.gov/ncbddd/heartdefects/cchd-facts.html
CCJ,craniocervical junction,
CCK,cholecystokinin,
CCl4,carbon tetrachloride,
CCM,cerebral cavernous malformation,
CCP,cardiac catheterization procedure,
CCP,cyclic citrullinated peptide,
CCPDMA,complete circumferential peripheral and deep margin assessment,
CCR7,C-C chemokine receptor type 7,
CCRCC,clear cell renal cell carcinoma,
CCRT,concurrent chemoradiotherapy,
CCS grade,Canadian Cardiovascular Society grade,
CCT,clinical controlled trial,
CCTA,coronary computed tomography angiography,
CCU,coronary care unit,
CD,Crohn's disease,
CD-TLR,clinically driven target lesion revascularization,
CD20,cluster of differentiation 20,
CD38,cluster of differentiation 38,
CD4,cluster of differentiation 4,
CD40,cluster of differentiation 40,
CD8,cluster of differentiation 8,
CDA,cervical disc arthroplasty,
CDAI,Clinical Disease Activity Index,
CDAI,Crohn's disease activity index,
CDC,Centers for Disease Control and Prevention,
CDD,CDKL5 deficiency disorder,
CDDD,Cervical Degenerative Disc Disease,https://pubmed.ncbi.nlm.nih.gov/32809607/
CDDP,cisplatin,
CDEIS,Crohn’s disease index of severity,
CDH,chronic daily headache,
CDH,congenital diaphragmatic hernia,
CDHIS,Crohn's Disease Histological Index of Severity,
CDI,"clean, dry, and intact",
CDI,Clostridium difficile infection,
CDK,cyclin-dependent kinase,
CDKL5,cyclin-dependent kinase-like 5 ,
CDKN2A,cyclin-dependent kinase inhibitor 2A,
CDMR,Cesarean Delivery at Maternal Request,
cDNA,complementary DNA,
cDNA-AFLP,cDNA-amplified restriction fragment–length polymorphism,
CDP,complex decongestive physiotherapy,
