Abbreviation/Shorthand,Meaning,More Info
D,diopter,
D/C,discharge,
d/c,discontinue,
D/W,dextrose in water,
D&C,dilatation & curettage,
D+/R-,donor positive/recipient negative,
D10,10% dextrose,
D50,50% dextrose,
D50W,50% dextrose in water,
DAA,direct-acting antiviral,
DAC,dose-adjustment coefficient,
DAD,diffuse alveolar damage,
DAO,diamine oxidase,
DAOM,depressor anguli oris muscle,
DAPT,dual antiplatelet therapy,
DAS-II,"Differential Ability Scale, Second Edition",
DASH,"Disabilities of the Arm, Shoulder and Hand",
dB,decibel,
DBP,diastolic blood pressure,
DBS,deep brain stimulation,
DBT,dialectical behavior therapy,
DBT,dual biologic therapy,
DC,dendritic cell,
DCB,drug-coated balloon,
DCI,distal contractile integral,
DCIS,ductal carcinoma in situ,
DCM,dilated cardiomyopathy,
DCS,direct current stimulation,
DD,diagonal difference,
DDD,degenerative disc disease,
DDI,drug to drug interaction,
DDR,DNA damage repair,
DDX,differential diagnosis,
DE,donor egg,
DEB,diepoxybutane,
DED,dry eye disease,
DES,drug-eluting stent,
DEVI,device,
DEXA,dual-energy x-ray absorption,
DFE,dilated fundus examination,
DFS,disease-free survival,
DFV,Doppler flow velocimetry,
DGE,Delayed Gastric Emptying,
DGL,deglycyrrhizinated licorice,
DHA,docosahexaenoic acid,
DHE,dihydroergotamine,
DHEA,dehydroepiandrosterone,
DHT,dihydrotestosterone,
DI,diabetes insipidus,
DIBH,deep inspiration breath hold,
DIC,disseminated intravascular coagulation,
DIEP,deep inferior epigastric artery perforator,
DILI,drug-induced liver injury,
DIP,distal interphalangeal,
DIPG,diffuse intrinsic pontine glioma,
DISE,drug-induced sleep endoscopy,
DISIDA,cholescintigraphy,
DJD,degenerative joint disease,
DKA,diabetic ketoacidosis,
DL,Direct Laryngoscopy,
DL,distal latency,
DL,dyslipidemia,
dL,deciliter,
dL,deciliter,
DLBCL,diffuse large B cell lymphoma,
DLCT,dual-layer CT,
DLE,discoid erythematosus,
DLGNT,diffuse leptomeningeal glioneuronal tumor,
DLI,donor lymphocyte infusion,
DLIM,depressor labii inferioris muscle,
DLQI,Dermatology Life Quality Index,
DLT,decongestive lymphatic therapy,
DM,deep masseter,
DM,dermatomyositis,
DM,diabetes mellitus,
DMA,druggable molecular alteration,
DMARD,disease-modifying antirheumatic drug,
Dmax,maximum dose,
DMD,Duchenne muscular dystrophy,
DMDD,disruptive mood dysregulated disorder,
DMEM,Dulbecco’s modified Eagle’s medium,
DMR,differentially methylated region,
DMSO,dimethyl sulfoxide,
DMT,disease-modifying therapy,
DNA,deoxyribonucleic acid,
DNI,do not intubate,
DNR,do not resuscitate,
DNS,Deviated Nasal Septum,
DOAC,directly acting oral anticoagulants,
DOB,date of birth,
DOC,Dynamic Orthotic Cranioplasty,https://www.cranialtech.com/treatment/the-doc-band/
DOC,deoxycorticosterone,
DOE,dyspnea on exertion,
DOS,date of service,
DOT,directly observed therapy,
DP,Dorsalis pedis,
DP,double prong,
DPCP,diphenylcyclopropenone,
dPCR,digital polymerase chain reaction,
DPD,deoxypyridinoline,
DPD,dihydropyrimidine dehydrogenase,
DPP4,Dipeptidyl Peptidase-4,
DPRH,Diaphragm,
Dpyr,deoxypyridinoline,
DQ,developmental quotient,
DRE,digital rectal exam,
DRESS,drug reaction with eosinophilia and systemic symptoms,
DREZ,dorsal root entry zone,
DRG,dorsal root ganglion,
DRG,diagnosis-related group,
DS,double scattering,
DS,Down syndrome,
DS,duodenal switch,
DSA,Digital Subtraction Angiography,
DSA,donor-specific antibodies,
DSB,double-strand break,
DSD,dynamic stabilization device,
dsDNA,double-stranded DNA,
DSM,Diagnostic and Statistical Manual of Mental Disorders,
DSTS,downsloping ST-segment,
DSWI,deep sternal wound infection,
DT,delirium tremens,
DTI,diffusion tensor imaging,
dTMS,Deep Transcranial Magnetic Stimulation,
DTP,"diphtheria, tetanus, pertussis",
DTR,deep tendon reflexes,
DUS,Duplex Ultrasonography,
DVH,dose-volume histogram ,
DVIU,Direct Visual Internal Urethrotomy,
DVP,deepest vertical pocket,
DVR,Double Valve Replacement,
DVS,double-V scrotoplasty,
DVT,deep venous thrombosis,
Dx,diagnosis,
DZ,disease,
