Abbreviation/Shorthand,Meaning,More Info
E-Mod,environmental modification,
E-VAC,endoscopic vacuum assisted closure,
E. cloacae,Enterobacter cloacae,https://en.wikipedia.org/wiki/Enterobacter_cloacae
E. Coli,Escherichia coli,
E/M,evaluation and management,
EA,episodic ataxia,
EA,electroacupuncture,
EA E Coli,enteroaggregative Escherichia coli,
EAC,External Auditory Canal,
EAE,esophageal acid exposure,
EAEC,enteroaggregative Escherichia coli,
EASI,Eczema Area and Severity Index,
EASL,European Association for the Study of the Liver,https://easl.eu/
EAT-10,Easting Assessment Tool,
EATT,epicardial adipose tissue thickness,
EAU,European Association of Urology,https://uroweb.org/
EBER,Epstein-Barr virus-encoded RNA,
EBGS,electrical bone growth stimulation,
EBL,estimated blood loss,
EBL,estimated surgical blood loss,
EBRT,external beam radiation therapy,
EBUS,endobronchial ultrasound,
EBV,Epstein Barr virus,
EBV-SMT,Epstein-Barr virus-associated smooth muscle tumor,
EC,endometrial cancer,
EC,esophageal cancer,
EC,enteric coated,
ECA,extracellular agent,
ECD,echo doppler,
ECD,endocardial cushion defect,
ECD,endothelial cell dysfunction,
ECD,Erdheim-Chester disease,
ECF,extracellular fluid,
ECG,electrocardiogram,
Echo,echocardiogram,
ECM,extracellular matrix,
ECMO,extracorporeal membrane oxygenation,
ECOG,Eastern Cooperative Oncology Group,
ECOG-PS,Eastern Cooperative Oncology Group Performance Status,
ECP,extracorporeal photopheresis,
ECPR,ECMO-assisted cardiopulmonary resuscitation,
ECRB,extensor carpi radialis brevis,
ECS,elective cesarean section,
ECT,electroconvulsive therapy,
ECU,extensor carpi ulnaris,
ECV,external cephalic version,
ED,emergency department,
ED,erectile dysfunction,
ED,eating disorder,
EDA,electrodermal activity,
EDACS,Eating and Drinking Ability Classification System,
EDC,estimated date of confinement,
EDD,estimated date of delivery,
EDG,endothelial differentiation gene,
EDL,Extensor Digitorum Longus,
EDR,Extreme Drug Resistance,
EDS,excessive daytime sleepiness,
EDS,Eye Dryness Score,
EDV,end diastolic volume,
EEG,electroencephalogram,
EENT,"eyes, ears, nose, throat",
EES,everolimus eluting stent,
EF,ejection fraction,
EFL,expiratory flow limitation,
EFLI,expiratory flow limitation index,
EFM,electronic fetal monitoring,
EGA,estimated gestational age,
EGD,esophagogastroduodenoscopy,
EGF,epidermal growth factor,
eGFR,Estimated Glomerular Filtration Rate,
EGFR,epidermal growth factor receptor,
EGJ,esophagogastric junction,
EGJOO,esophagogastric junction outflow obstruction,
EH,endolymphatic hydrops,https://en.wikipedia.org/wiki/Endolymphatic_hydrops
EHL,extensor halluces longus,
EI,endotracheal intubation,
EIA,External Iliac Artery,
EIA,enzyme immunoassay,
EIM,extraintestinal manifestations,
EjD,ejaculatory dysfunction,
EKG,electrocardiogram,
ELAD,extracorporeal liver support device,
ELF,endoluminal fundoplication,
ELF,Enhanced Liver Fibrosis Panel,
ELISA,enzyme-linked immunosorbent assay,
ELIX,elixir,
ELSO,Extracorporeal Life Support Organization,
ELVO,emergent large vessel occlusion,
EM,erythema multiforme,
EM,episodic migraine,
EMDR,eye movement desensitization and reprocessing,
EMG,electromyelogram,
EMGGG,electromyographic activity of the genioglossus muscle,
EMH,extramedullary hemopoiesis,
EMR,electronic medical record,
EMS,emergency medical services,
EMUL,Emulsion,
ENCODE,ENCyclopedia of DNA Elements,
EndoAVF,endovascular arteriovenous fistula,
ENEM,Enema,
ENLS,emergency neurologic life support,
ENoG,Electroneurography,
ENT,"ear, nose, throat/otolaryngology",
EOB,explanation of benefits,
EoE,eosinophilic esophagitis,
EOG,electrooculogram,
EOL,end of life,
EOM,extraocular muscles (movements),
EOMI,extra ocular movements intact,
EORTC QLQ H&N35,European Organisation For Research And Treatment Of Cancer Head and Neck Quality of Life Questionnaire 35,
EOW,every other week,
EP,electrophysiology,
EP,etoposide and cisplatin (chemotherapy),
Ep-GBM,epithelioid glioblastoma,
EPA,eicosapentaenoic acid,
EPCR,endothelial protein C receptor ,
EPEC,enteropathogenic E. coli,
EPO,erythropoietin,
EPOCH,"Etoposide, Prednisolone, Oncovin: vincristine, Cyclophosphamide, Hydroxydaunorubicin: doxorubicin",https://en.wikipedia.org/wiki/EPOCH_(chemotherapy)
EPS,electrophysiology study,
EPS,encapsulated peritoneal sclerosis,
ER,emergency room,
ER,estrogen receptor,
ERA,endothelin receptor antagonist,
ERA,Enthesitis Related Arthritis,
ERAS,Enhanced Recovery After Surgery,https://www.acog.org/clinical/clinical-guidance/committee-opinion/articles/2018/09/perioperative-pathways-enhanced-recovery-after-surgery
ERAS,Early Recovery after Surgery,
ERBB2,human epidermal growth factor receptor 2,https://pubchem.ncbi.nlm.nih.gov/gene/ERBB2
ERCP,endoscopic retrograde cholangiopancreatography,
ERK,extracellular signal-regulated kinase,
ERP,Exposure with Response Prevention,
ERP,event-related potential,
ERV,endogenous retrovirus,
ES,Evans' syndrome ,"https://pubmed.ncbi.nlm.nih.gov/33260979/#:~:text=Evans%27%20syndrome%20%28ES%29%20is%20defined%20as%20the%20concomitant,7%25%20of%20AIHA%20and%20around%202%25%20of%20ITP."
ES,epidural steroids,
ESBL,extended spectrum beta-lactamase,
ESDM,Early Start Denver Model ,
eSET,Elective Single Embryo Transfer,
ESI,Emergency Severity Index,
ESI,epidural steroid injection,
ESLD,end stage liver disease,
ESP,erector spinae plane,
ESR,erythrocyte sedimentation rate,
ESRD,end-stage renal disease,
ESS,Epworth Sleepiness Scale,
ESS,endoscopic sinus surgery,
EST,electroshock therapy,
ESV,end systolic volume,
ESWL,Extracorporeal Shock Wave Lithotripsy,
ESWT,Extracorporeal Shock Wave Therapy,
ET,exercise tolerance,
ET,endotracheal tube,
ET,essential tremor,
ET,essential thrombocythaemia,
ETANTR,embryonal tumors with abundant neuropil and true rosettes,
ETBD,Eustachian Tube Balloon Dilation,
ETC,electron transport chain,
EtCO2,end-tidal carbon dioxide,
ETD,Eustachian Tube Dysfunction,
ETDQ-7,7-item Eustachian Tube Dysfunction Questionnaire,
ETDRS,Early Treatment Diabetic Retinopathy Study,
ETEC,enterotoxigenic E. coli,
EtG,ethyl glucuronide,
ETMR,embryonal tumor with multilayered rosettes,
EtOH,alcohol,
EtS,ethyl sulfate,
ETS,endoscopic thoracic sympathectomy,
ETT,endotracheal tube,
ETT,exercise tolerance test,
EUA,emergency use authorization,
EUA,Exam Under Anesthesia,
EUGOGO,European Group on Graves' Orbitopathy,
EuroQol,European Quality of Life questionnaire,
EUS,Endoscopic Ultrasound,
EUS-FNA,endoscopic ultrasound fine-needle aspiration,
EV,extracellular vesicle,
EVAR,Endovascular Aneurysm Repair,
EVAS,Endovascular Aneurysm Sealing,
EVD,external ventricular drain,
EVH,Endoscopic Vein Harvest,
EVLA,endovenous laser ablation,
EVLT,endovenous laser therapy,
EW,every week,
EWHFO,Elbow Wrist Hand Finger Orthosis,
EWHO,elbow-wrist-hand orthosis,
EXHA,Exhaler,
EXHL,Exhaler Liquid,
EXHP,Exhaler Powder,
EXHS,Exhaler Solution,
EXHU,Exhaler Suspension,
EXTR,Fluid Extract,
F-BSA,facial body surface area,
F-VASI,facial vitiligo area scoring index,
F-VASI50,50% improvement in the Facial Vitiligo Area Scoring Index,
F-VASI75,75% improvement in the Facial Vitiligo Area Scoring Index,
F-VASI90,90% improvement in the Facial Vitiligo Area Scoring Index,
F/U,follow up,
Fab',antigen-binding fragment,
FABER,"Flexion, Abduction and External Rotation",
FACS,fluorescence-activated cell sorting,
FAD,flavin adenine dinucleotide,
FADDIR,"Flexion, Adduction, Internal Rotation",
FAI,Femoral-Acetabular Impingement,
FAP,familial adenomatous polyposis,
FASPS,familial advanced sleep phase syndrome,
FAST,focused assessment with sonography in trauma,
FAST,Functional Assessment Screening Tool,
FB,foreign body,
FB,free breathing,
FBN1,fibrillin 1,https://www.ncbi.nlm.nih.gov/gene/2200
FBS,fasting blood sugar,
FBS,fetal bovine serum,
FBSS,Failed Back Surgery Syndrome,
FC,fixed combination,
FC,functional class,
FC,fecal calprotectin,
Fc,fragment crystallizable,
FCR,"fludarabine, cyclophosphamide and rituximab",
FcRn,neonatal Fc receptor,
FD,folliculitis decalvans,
FDA,Food and Drug Administration,
FDG,fluorodeoxyglucose,
FDG-PET/CT,fludeoxyglucose positron emission tomography/computed tomography,
FDMA,first dorsal metatarsal artery,
FDP,flexor digitorum profundus,
FDR,false discovery rate,
FE,facial electrolysis,
FeNO,fractional exhaled nitric oxide,
FES,functional electrical stimulation,
FESS,functional endoscopic sinus surgery,
FET,frozen embryo transfer,
FEV1,forced expiratory volume 1 second,
fEVAR,fenestrated endovascular aneurysm repair,
FF,fluticasone furoate,
FF,follicular fluid,
FFA,frontal fibrosing alopecia,
FFDM,freedom from widespread distant metastasis,
ffERG,full-field electroretinography,
fFN,fetal fibronectin,
FFP,fresh frozen plasma,
FFPE,formalin-fixed paraffin-embedded ,
FFR,fractional flow reserve,
FFR,filtering facepiece respirator,
FFS,facial feminization surgery,
FG,Fournier’s gangrene,
FGF,fibroblast growth factor,
FGFR,fibroblast growth factor receptor,
FGFR2,fibroblast growth factor receptor 2,
FGFR3,fibroblast growth factor receptor 3,
FH,Familial Hypercholesterolemia,
FHF,fulminant hepatic failure,
FHM,fetal heart monitor,
FHM,familial hemiplegic migraine,
FHO,Femoral Head Ostectomy,
FHR,fetal heart rate,
FHT,fetal heart tone,
FIGO,Federation Internationale de Gynecolgie et d'Obstetrique,https://training.seer.cancer.gov/staging/systems/schemes/figo.html
FIM,Functional Independence Measure,
