Abbreviation/Shorthand,Meaning,More Info
H. pylori,Helicobacter pylori,
H/H,hemoglobin/hematocrit,
h/o,history of,
H&H,hemoglobin and hematocrit,
H&P,history and physical,
H1,histamine H1 receptor,
H2,histamine H2-receptor,
H20,water,
H2O2,hydrogen peroxide,
HA,headache,
HA,hearing aid,
HA,hippocampal avoidance,
HA,histamine,
HA,hyaluronic acid,
HA-R,histamine receptor,
HA-WBRT,hippocampal avoidance whole-brain radiotherapy,
HAART,highly active antiretroviral therapy,
HAE,human airway epithelia,
HAEM,herpes associated erythema multiforme,https://pubmed.ncbi.nlm.nih.gov/22346171/
HAGMA,High Anion Gap Metabolic Acidosis,
HAL,hexaminolevulinate,
HAM,HTLV-1 associated myelopathy,
HAM-D,Hamilton Depression Rating Scale,
HAM/TSP,HTLV-1-associated myelopathy/tropical spastic paraparesis,
HAMP,homeostasis-altering molecular process,
HAP,hospital-acquired pneumonia,
HAPE,high altitude pulmonary edema,
HAS-BLED,"hypertension, abnormal renal and liver function, stroke, bleeding, labile INR, elderly, drugs or alcohol",
HASTI,"Heaviness, Achiness, Swelling, Throbbing, Itching",
HAT,"hypoxanthine, aminopterin, thymidine",
HAV,hepatitis A virus,
HAVB,high-grade atrioventricular block,
Hb,hemoglobin,
HB-MFO,hybrid multifield optimization,
HBA,hepatobiliary agent,
HBeAg,hepatitis B e-antigen,
HBI,Harvey-Bradshaw Index,
HBO,hyperbaric oxygen,
HBOT,hyperbaric oxygen therapy,
HBsAg,Hepatitis B surface antigen,
HbSS,hemoglobin sickle-sickle,
HBV,hepatitis B virus,
HC,hydrocortisone,
HC,healthy contol,
HC,hydroxycarbamide,
HCAP,healthcare-associated pneumonia,
HCBS,Home and Community Based Services,
HCC,Hepatocellular Carcinoma ,
hCFTR,human cystic fibrosis transmembrane conductance regulator,
HCG,Human Chorionic Gonadotropin,
HCl,hydrochloric acid,
HCM,hypertrophic cardiomyopathy,
HCMV,human cytomegalovirus,
HCO3,bicarbonate,
HCoV-229E,human coronavirus 229E,
HCP,healthcare proxy,
HCPCS,Healthcare Common Procedure Coding System,
HCQ,hydroxychloroquine,
HCSS,home and community support services,
Hct,hematocrit,
HCT,hematopoietic cell transplantation,
HCTZ,hydrochlorothiazide,
HCV,Hepatitis C virus,
HCVD,hypertensive cardiovascular disease,
HD,hemodialysis,
HD,hemodynamically,
HD,Hirschsprung's disease,
HD,hospital day,
HD,Huntington’s disease,
HD-MTX,high-dose methotrexate,
hDBS,hypothalamic deep brain stimulation,
HDC,histidine decarboxylase,
HDFN,hemolytic disease of the fetus and newborn,
HDL,high density lipoprotein,
HDLP,HDL particle concentration,
HDM,home delivered meal,
HDN,hemolytic disease of the newborn,
HE,hemagglutinin–acetylesterase,
HEART,"History, EKG, Age, Risk factors, initial Troponin",
