Abbreviation/Shorthand,Meaning,More Info
I-IBTR,invase ipsilateral breast tumor recurrence,
i-TIMI,initial-thrombolysis in myocardial infarction,
I:T ratio,Immature to Total Neutrophil Ratio,
I&D,incision and drainage,
I&D,irrigation and debridement,
I&O,intake and output,
IA,imidazole acetaldehyde,
IA,intra-articular,
IAA,Iliac Artery Aneurysm,
IAA,imidazole acetic acid,
IAA,interrupted aortic arch,
IAAR,imidazole acetic acid riboside,
IABP,intra-aortic balloon pump,
IAC,intra-articular corticosteroids,
IAC,Internal Auditory Canal,
IACS,intra-articular corticosteroid,
IAD,incontinence-associated dermatitis,
IADL,instrumental activities of daily living,
IAH,Intra-abdominal Hypertension,
IAHA,intra-articular hyaluronic acid,
IAP,intra-abdominal pressure,
IAPN,intra-ampullary papillary-tubular neoplasm,
IAT,intra-arterial thrombolysis,
IBC,invasive breast cancer,
IBD,identity by descent,
IBD,inflammatory bowel disease,
IBE,ipsilateral breast event,
IBM,inclusion body myositis,
IBS,irritable bowel syndrome,
IBS,constipation-predominant irritable bowel syndrome,
IBS-C,irritable bowel syndrome with constipation,
IBS-D,Irritable Bowel Syndrome with Diarrhea,
IBTR,ipsilateral breast tumor recurrence,
IBW,ideal body weight,
IC,interstitial cystitis,
IC,ileocecal,
IC,immune complex,
ICA,invasive coronary angiography,
ICA,internal carotid artery,
ICAM-1,Intercellular Adhesion Molecule 1,
ICAR,Infection Control Assessment and Response,
ICAR,interventional cardiac admission and recovery,
ICC,intraclass correlation coefficient,
ICC,immunocytochemistry,
ICCA,infantile convulsions and choreoarthetosis,
ICD,implantable cardioverter defibrillator,
ICD,International Classification of Diseases,https://www.cdc.gov/nchs/icd/index.htm
ICF,intermediate care facility,
ICF,intracellular fluid,
ICG,indocyanine green,
ICH,Intracerebral Hemorrhage,
ICH,intracranial hemorrhage,
ICH,intracranial hypertension,
ICL,interstrand crosslinks,
ICM,ischemic cardiomyopathy,
ICMS,intensive case management service,
ICP,infection prevention and control,
ICP,intracranial pressure,
ICPP,idiopathic central precocious puberty,
ICR,insulin-to-carbohydrate ratio,
ICR,interventional cardiology review,
ICS,inhaled corticosteroids,
ICS,International Continence Society,
ICSD,International Classification of Sleep Disorders,
ICSI,intracytoplasmic sperm injection,
ICU,intensive care unit,
ICV,ileocecal valve,
ID,intradermal injection,
ID,interface dermatitis,
ID,integral dose,
ID,infectious disease(s),
IDA,iron deficiency anemia,
IDC,Invasive Ductal Carcinoma,
IDDM,insulin-dependent diabetes mellitus,
IDDS,intrathecal drug delivery system,
IDE,Investigational Device Exemption,
IDEEL,Impact of Dry Eye on Everyday Life,
IDH,isocitrate dehydrogenase,
IDH1,isocitrate dehydrogenase 1,
IDH2,isocitrate dehydrogenase 2,
IDH2R172K,isocitrate dehydrogenase 2 arginine 172,
IDP,intrinsically disordered protein,
IDSA,Infectious Diseases Society of America,
IDT,Interdisciplinary Team,
IDU,intravenous drug use,
IED,intermittent explosive disorder,
IEP,Individualized Education Program,
IF-ANA,immunofluoresent antinuclear antibody,
IFA,immunofluorescent assay,
IFC,interferential current,
IFIS,Intraoperative Floppy Iris Syndrome,
IFITM,interferon-induced transmembrane,
IFN,interferon,
IFN-γ,interferon gamma,
IFS,Internal Family Systems,
IFSO,International Federation for the Surgery of Obesity and Metabolic Disorders,https://www.ifso.com/
IFU,Instructions For Use,
IFX,infliximab,
Ig,immunoglobulin,
IgA,Immunoglobulin A,
IGA,Investigator's Global Assessment,
IgAN,IgA nephropathy,
IgD,immunoglobulin D,
IgE,immunoglobulin E,
IGF-1,insulin-like growth factor 1,
IGF-2,insulin-like growth factor 2,
IGF-IR,insulin-like growth factor I receptor,
IGFBP3,insulin-like growth factor binding protein 3,
IgG,immunoglobulin G,
IgG1,immunoglobulin G subclass 1,
IgG2,immunoglobulin G subclass 2,
IgG3,immunoglobulin G subclass 3,
IgG4,immunoglobulin G subclass 4,
IGHD,isolated ggrowth hormone deficiency,
IgM,immunoglobulin M,
IGR-SRS,image-guided robotic stereotactic radiosurgery,
IGR-SRS,image-guided robotic stereotactic radiosurgery ,
IGRA,interferon-gamma release assay,
IGRT,image guided radiation therapy,
IH,idiopathic hypersomnia,
IH,Inguinal Hernia,
IHA,intravesical hyaluronic acid,
IHA,insoluble hyaluronic acid,
IHC,immunohistochemistry,
IHC,inner hair cell,
IHF,intrahepatic fat,
IHSS,idiopathic hypertrophic subaortic stenosis ,
IHSS,Idiopathic Hypersomnia Severity Scale,
IIA,Internal Iliac Artery,
IIH,idiopathic intracranial hypertension,
IJ,Internal Jugular,
IKDC,International Knee Documentation Committee,
IL,intralesional,
IL-13,Interleukin 13,
IL-15,Interleukin 15,
IL-15R,Interleukin 15 receptor,
IL-17,Interleukin-17,
IL-2,Interleukin 2,
IL-21,Interleukin 21,
IL-4,Interleukin 4,
IL-4,Interleukin 4,
