Abbreviation/Shorthand,Meaning,More Info
JAK,janus kinase,
JAK-STAT,"janus kinase, signal transducer and activator of transcription protein",
JAKi,JAK inhibitor,
JAMA,Journal of the American Medical Association,https://jamanetwork.com/
JBJS,The Journal of Bone & Joint Surgery,
JCV,John Cunningham virus,
JF,jowl fat,
JIA,juvenile idiopathic arthritis,
JNA,Juvenile nasopharyngeal angiofibroma,
JP,Jackson Pratt,
JRA,juvenile rheumatoid arthritis,
JRAAA,Juxtarenal Abdominal Aortic Aneurysm,
JTAJ,Jet-injector (Needleless),
JTKT,Jet-injector Kit (Needleless),
K,keratometry,
K,potassium,
K,thousand,
K0,No ability or potential to ambulate or transfer safely with or without assistance; A prosthesis does not enhance quality of life or mobility,
K1,Able or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence,
K2,Ability or potential to ambulate; Ability to traverse low level environmental barriers,
K3,Ability or potential to ambulate with variable cadence,
K4,"Ability or potential for prosthetic ambulation that exceeds basic ambulation skills, exhibiting high impact, stress, or energy levels",
KAFO,knee-ankle-foot orthosis,
KAX,"ketamine, acepromazine, and xylazine",
KCH,King’s College Hospital,
KCl,potassium chloride,
KDIGO,Kidney Disease Improving Global Outcomes,https://kdigo.org/
KDQOL,Kidney Disease Quality of Life,
kg,kilogram,
KLRG1,killer cell lectin-like receptor G1,
KM,Kaplan-Meier,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3059453/
Kmax,maximum simulated keratometry value,
KOA,knee osteoarthritis,
KPS,Karnofsky Performance Scale,
KRAS,Kirsten rat sarcoma viral oncogene homolog,
KUB,"kidney, ureter, bladder (x-ray)",
KVO,Keep Vein Open,
L,left,
L&D,labor and delivery,
L1,first lumbar spine vertebra,
L2,second lumbar spine vertebra,
L2K,Life2000,https://www.hillrom.com/en/products/life2000-system/
L3,third lumbar spine vertebra,
L4,fourth lumbar spine vertebra,
L5,fifth lumbar spine vertebra,
LA,extended release,
LA,left atrium,
LA,leukoaraiosis,
LA,lactic acid,
LA classification,Los Angeles Classification of Gastroesophageal Reflux Disease,https://www.sciencedirect.com/science/article/pii/S2212097113700463
LAA ,left atrial appendage,
LAAC,left atrial appendage closure,
LAAEV,left atrium appendage emptying velocity,
LAAO,left atrial appendage occlusion,
LAAT,left atrial appendage thrombus,
LABA,long-acting b2-agonist,
LABD,linear IgA bullous dermatosis ,
LAD,left anterior descending artery,
LAD,linear IgA dermatosis,
LAD,lymphadenopathy,
LAD-D1,left anterior descending artery - first diagonal branch,
LAD-D2,left anterior descending artery - second diagonal branch,
LAD-D3,left anterior descending artery - third diagonal branch,
LAE,left atrial enlargement,
LAER,late auditory evoked response,
LAFB,left anterior fascicular block,
LAHB,left anterior hemiblock,
LAMA,long-acting muscarinic antagonist,
LAP,latency associated peptide,
LAR,left anterior colon resection,
LAR,long-acting release,
LAR,low anterior resection,
LASIK,laser-assisted in situ keratomileusis,
LAT,large neutral amino acid transporter,
LAVH,Laparoscopic Assisted Vaginal Hysterectomy,
LAVH BSO,Laparoscopic-assisted vaginal hysterectomy with BSO Bilateral Salpingo-Oophorectomy,
LAVI,left atrium volume index,
LB,lower body,
LBBB,left bundle branch block,
LBM,lean body mass,
LBN,latanoprostene bunod,
LBO,large bowel obstruction,
LBP,lower back pain,
LC,Langerhans cell,
LC,local control,
LCD,Local Coverage Determination,
LCFA,left common femoral artery,
LCIS,lobular carcinoma in situ,
LCIV,left common iliac vein,
LCMV,lymphocyte choriomeningitis virus,
LCSW,licensed clinical social worker,
LCX,left circumflex (coronary artery),
LD,lactate dehydrogenase,
LD,lumbar drain,
LDCT,low-dose computed tomography,
LDH,lactate dehydrogenase,
LDH,lumbar disc herniation,
LDL,low density lipoprotein,
LDL-C,low-density lipoprotein cholesterol,
LDLR,low-density lipoprotein receptor,
LDLT,living donor liver transplantation,
LDS,Loeyse-Dietz syndrome,
LE,leukocyte esterase,
LE,lower extremity,
LE,lupus erythematosus,
LEAV,Leaves,
LECVD,Lower Extremity Chronic Venous Disease,
LEF,leflunomide,
LELE,Leading Edge to Leading Edge,
LEMG,laryngeal electromyography,
LEMS,lower extremity motor score,
LES,lower esophageal sphincter,
LESI,lumbar epidural steroid injection,
LF,local failure,
LFA-1,lymphocyte function-associated antigen-1,
LFC,lateral femoral condyle,
LFT,liver function test,
LG,loop gain,
LGG,lower grade glioma,
LGL,large granular lymphocyte,
LH,Laparoscopic Hysterectomy,
LH,luteinizing hormone,
LHC,left heart catheterization,
LHM,laparoscopic Heller myotomy ,
LHRH,luteinizing hormone-releasing hormone,
LHX3,"LIN-11, Isl-1 and MEC-3 Homeobox 3",
LHX4,"LIN-11, Isl-1 and MEC-3 Homeobox 4",
Li-RADS,Liver Imaging Reporting and Data System,
LIFT,ligation of intersphicteric fistula tract,
LIMA,left internal mammary artery,
LIQD,Liquid,
LITT,Laser Interstitial Thermal Therapy,
LKP,lamellar keratoplasty,
LKW,last known well,
LL,lower left,
LLC,lower lateral cartilage,
LLC,large latent complex,
LLE,left lower extremity,
LLJ,latero-lateral joint,
LLL,left lower lobe,
LLL,low level laser,
LLQ,left lower quadrant,
LLSM,levator labii superioris muscle,
LM,laparoscopic myomectomy,
LM,left main coronary artery,
LMCA,left main coronary artery stenosis,
LMD,Langer mesomelic dysplasia,
LMP,last menstrual period,
LMT,left main trunk,
LMWH,Low Molecular Weight Heparin,
LN,lymph node,
LND,lymph node dissection,
LNF,laparoscopic Nissen fundoplication,
LNP,lipid nanoparticle,
LOA,lysis of adhesions,
LOC,level of care,
LOC,level of consciousness,
LOC,loss of consciousness,
LOCADTR,Level of Care for Alcohol and Drug Treatment Referral,https://oasas.ny.gov/locadtr
LOCUS,Level of Care Utilization System,
LOF,loss-of-function,
logMAR,logarithm of the minimum angle of resolution,
LOH,loss of heterozygosity,
LOLA,L-ornithine L-aspartate,
LOMN,letter of medical necessity,
LOS,length of stay,
LOTN,Lotion,
LOZG,Lozenge,
LP,lichen planus,
LP,lumbar puncture,
LP,lamina propria,
LP,light perception,
LP-PRP,leukocyte-poor platelet-rich plasma,
LPD,lymphoproliferative disorder,
LPDA,left posterior descending artery,
LPFB,left posterior fascicular block,
LPI,labile plasma iron,
LPM,lateral pterygoid muscle,
LPN,licensed practical nurse,
LPOP,Lozenge on a Handle,
LPP,lateral pterygoid plate,
LPP,lichen planopilaris,
LPR,Laryngopharyngeal Reflux,
LQCR,Liquid Extended- Release,
LQPK,Liquid Therapy Pack,
LQTS,long QT syndrome,
LR,lower right,
LR,lactated Ringer's,
LR,likelihood ratio,
LR-PRP,leukocyte-rich platelet-rich plasma,
LRFFS,loco-regional failure-free survival,
LRR,loco-regional recurrence,
LRRC,locally recurrent rectal cancer,
LS,lumbar spine,
LSD,lysergic acid diethylamide,
LSG,Laparoscopic Sleeve Gastrectomy,
LSO,left salpingo-oophorectomy,
LSPAF,long-standing persistent atrial fibrillation,
LSS,lumbar spinal stenosis,
LSV,Long Saphenous Vein,
LT,liver transplantation,
LT,heat-labile,
LTAC,long term acute care,
LTACH,long term acute care hospital,
LTBI,latent tuberculosis infection,
LTBP,latent TGF-β binding protein,
LTC,local tumor control,
LTCF,lateral temporal cheek fat,
LTE,linear energy transfer,
LTR,lower trunk rotation,
LTx,lung transplant,
LUE,left upper extremity,
LUL,left upper lobe,
Lung-RADS,Lung Imaging Reporting and Data System,
LUQ,left upper quadrant,
LUT,lower urinary tract,
LUTS,lower urinary tract symptoms,
LV,left ventricle,
LV,lentivirus,
LV,limb volume,
LVAD,left ventricular assist device,
LVEDP,left ventricular end-diastolic pressure,
LVEF,left ventricle ejection fraction,
LVH,left ventricular hypertrophy,
LVN,licensed vocational nurse,
