Abbreviation/Shorthand,Meaning,More Info
m-VEINES-QOL/Sym,modified Venous Insufficiency Epidemiological and Economic Study-Quality of Life/Symptoms,
M/H,medical history,
M/R/G,"murmurs, rubs, gallops",
M0,Cancer has not metastacized,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
M1,Cancer has metastacized,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
M1,"sphenoidal segment (stem), middle cerebral artery",
M2,"insular segment, middle cerebral artery",
M3,"opercular segments, middle cerebral artery",
M4,"terminal or cortical segments, middle cerebral artery",
MA,metabolic acidosis,
MA,maxillary artery,
MA,migraine with aura,
MAA,Mycotic Aortic Aneurysm,
mAbs,monoclonal antibodies,
MAC,monitored anesthesia care,
MAC,Mycobacterium avium complex,
MAC-ELISA,monoclonal antibody capture enzyme-linked immunosorbent assay,
MACE,major adverse cardiac event,
MACI,matrix autologous chondrocyte implant ,
MACS,Manual Ability Classification System,
MADRS,Montgomery–Åsberg Depression Rating Scale,
MAF,mitral annular flutter,
MAG,myelin-associated glycoprotein,
MAI,Mycobacterium avium-intracellulare infection,
MALT,mucosa-associated lymphoid tissue,
MAMC,mid-arm muscle circumference,
mane,in the morning,
MAO,monoamine oxidase,
MAO-B,monoamine oxidase B,
MAOI,monoamine oxidase inhibitor,https://www.ncbi.nlm.nih.gov/books/NBK539848/
MAP,mean arterial pressure,
MAPHR,maximum age-predicted heart rate,
MAPK,mitogen-activated protein kinase,
MAPS,medical advanced pain specialist,
MAR,melanoma-associated retinopathy,
MARS,Methionyl-TRNA Synthetase 1,
MARS,molecular absorbents recirculation system,
MAS,modified Ashworth scale,
MASCC,Multinational Association for Supportive Care,
MAT,medication-assisted treatment,
MB,microbleed,
Mb,myoglobin,
MBB,medial branch block,
MBC,metastatic breast cancer,
MC,microscopic colitis,
MC,Modic change,
MCA,motorcycle accident,
MCA,middle cerebral artery,
MCB,monochlorobimane,
MCC,Merkel cell carcinoma,
MCFC,middle cheek fat compartment,
mcg,microgram,
MCH,mean corpuscular hemoglobin,
MCHC,mean corpuscular hemoglobin concentration,
MCII,minimum clinically important improvement,
MCL,mucinous cystic lesion,
MCL,medial collateral ligament,
MCM,major congenital malformation,
MCN,mucinous cystic neoplasm,
mCNV,myopic choroidal neovascularization,
MCOT,mobile cardiac outpatient telemetry,
mCRC,metastatic colorectal cancer,
mCRPC,metastatic castration-resistant prostate cancer,
MCT,medium‐chain triglyceride,
MCTD,mixed connective tissue disease,
MCTD,Mixed Connective Tissue Disease,
MCV,mean corpuscular volume,
MD,muscular dystrophy,
MDD,major depressive disorder,
MDD,minimally detectable difference,
MDE,minimum detectable effect,
MDF,Maddrey discriminant function,
MDI,metered dose inhaler,
MDMA,"3,4-methylenedioxy-methamphetamine",
MDR,multidrug-resistant,
MDS,myelodysplastic syndrome,
MECC,Minimal Extracorporeal Circulation,
MED,morphine equivalent dosage,
MEK,mitogen-activated protein kinase kinase,https://en.wikipedia.org/wiki/Mitogen-activated_protein_kinase_kinase
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes",
