Abbreviation/Shorthand,Meaning,More Info
M/H,medical history,
M/R/G,"murmurs, rubs, gallops",
M0,Cancer has not metastacized,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
M1,Cancer has metastacized,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
MA,metabolic acidosis,
MA,maxillary artery,
MA,migraine with aura,
MAA,Mycotic Aortic Aneurysm,
mAbs,monoclonal antibodies,
MAC,monitored anesthesia care,
MAC,Mycobacterium avium complex,
MACE,major adverse cardiac event,
MACI,matrix autologous chondrocyte implant ,
MACS,Manual Ability Classification System,
MADRS,Montgomery–Åsberg Depression Rating Scale,
MAF,mitral annular flutter,
MAG,myelin-associated glycoprotein,
MAI,Mycobacterium avium-intracellulare infection,
MALT,mucosa-associated lymphoid tissue,
MAMC,mid-arm muscle circumference,
mane,in the morning,
MAO-B,monoamine oxidase B,
MAP,mean arterial pressure,
MAPHR,maximum age-predicted heart rate,
MAPK,mitogen-activated protein kinase,
MAR,melanoma-associated retinopathy,
MARS,molecular absorbents recirculation system,
MASCC,Multinational Association for Supportive Care,
MB,microbleed,
Mb,myoglobin,
MC,microscopic colitis,
MCA,motorcycle accident,
MCA,middle cerebral artery,
MCB,monochlorobimane,
MCC,Merkel cell carcinoma,
MCFC,middle cheek fat compartment,
mcg,microgram,
MCH,mean corpuscular hemoglobin,
MCHC,mean corpuscular hemoglobin concentration,
MCII,minimum clinically important improvement,
MCL,mucinous cystic lesion,
MCL,medial collateral ligament,
MCM,major congenital malformation,
MCN,mucinous cystic neoplasm,
MCOT,mobile cardiac outpatient telemetry,
mCRC,metastatic colorectal cancer,
mCRPC,metastatic castration-resistant prostate cancer,
MCT,medium‐chain triglyceride,
MCTD,mixed connective tissue disease,
MCTD,Mixed Connective Tissue Disease,
MCV,mean corpuscular volume,
MD,muscular dystrophy,
MDD,major depressive disorder,
MDD,minimally detectable difference,
MDE,minimum detectable effect,
MDF,Maddrey discriminant function,
MDI,metered dose inhaler,
MDMA,"3,4-methylenedioxy-methamphetamine",
MDR,multidrug-resistant,
MDS,myelodysplastic syndrome,
MECC,Minimal Extracorporeal Circulation,
MED,morphine equivalent dosage,
MEK,mitogen-activated protein kinase kinase,https://en.wikipedia.org/wiki/Mitogen-activated_protein_kinase_kinase
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes",
MELD,Model for End Stage Liver Disease,
MELS,modular extracorporeal liver support system,
MEP,motor evoked potential,
mEq,milliequivalent,
mEq/L,milliequivalents per liter,
MERRF,myoclonic epilepsy with ragged red fibers,
MERS,Middle East Respiratory Syndrome,
MERS-CoV,Middle East Respiratory Syndrome Coronavirus,
MET,"MET proto-oncogene, receptor tyrosine kinase",https://www.mycancergenome.org/content/gene/met/
MET,Metabolic Equivalent,
MET,motivational enhancement therapy,
METS,Measurement of Exercise Tolerance before Surgery,
MF,malar fat,
MF,mandibular fossa,
MFC,medial femoral condyle,
MFCL,Medicare Functional Classification Level,
MFS,metastasis-free survival,
Mg,magnesium,
mg,milligram,
MG,myasthenia gravis,
mg/dL,milligrams per deciliter,
MGMT,O[6]-methylguanine-DNA methyltransferase,
MgSO4,Magnesium Sulfate,
MgSO₄,Magnesium sulfate,
MHC,major histocompatibility complex,
MHD,mean heart dose,
MHOP,mental health outpatient services,
MHP,moist hot pack,
MHV,mouse hepatitis virus,
MHV,Murine Hepatitis Virus,
MHz,megahertz,
MI,myocardial infarction,
MIC,minimum inhibitory concentration,
MID,minimal important difference,
midi,midday,
MILD,minimally invasive lumbar decompression,
MIP,maximal inspiratory pressure,
MIP,molecular inversion probe,
MIrAVR,minimally invasive reoperative aortic valve replacement,
ML,Microlaryngoscopy,
mLAP,mean left atrial pressure,
MLD,manual lymphatic drainage,
MM,multiple myeloma,
MMA,multimodal analgesic,
MMC,Mitomycin C,
mmHg,millimeter of mercury,
MMLV,Moloney murine leukemia virus,
MMLV-RT,Moloney murine leukemia virus reverse transcriptase,
MMN,multi-focal motor neuropathy,
mmol/L,millimole per liter,
MMSE,mini-mental state examination,
MMTP,Methadone Maintenance Treatment Program,
MN,midnight,
MO,migraine without aura,
MO,morbid obesity,
