Abbreviation/Shorthand,Meaning,More Info
P,pulse,
p-CSI,proton craniospinal irradiation,
P/C ratio,protein to creatinine ratio,
P&A,percussion & auscultation,
p16,cyclin-dependent kinase inhibitor 2A,
p53,tumor protein P53,
PA,periapical,
PA,prior authorization,
PA,pulmonary artery,
PA,protease associated,
PAC,premature atrial complexes,
PACAP,pituitary adenylate cyclase-activating polypeptide,
PAco2,alveolar carbon dioxide partial pressure,
Paco2,arterial carbon dioxide partial pressure,
PACU,post anesthesia care unit,
PAD,peripheral arterial disease,
PAE,Prostate Artery Embolization,
PAF,paroxysmal atrial fibrillation,
PAH,pulmonary arterial hypertension,
PAH,predicted adult height,
PAI-1,plasminogen activator inhibitor-1,
pAIR,paraneoplastic autoimmune retinopathy,
PAL,phenylalanine ammonia lyase,
PALB2,Partner and Localizer of BRCA2,
PAM,protospacer adjacent motif,
PAMG-1,placental alpha microglobulin-1,
PAMM,paracentral acute middle maculopathy,
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections,
PANS,Pediatric Acute-onset Neuropsychiatric Syndrome,
PAo2,alveolar oxygen partial pressure,
Pao2,arterial oxygen partial pressure,
PAOD,Peripheral Arterial Occlusive Disease,
PAP,positive airway pressure,
PAPR,Powered Air Purifying Respirator,
PAR-1,protease-activated receptor-1,
PARDS,pediatric acute respiratory distress syndrome,
PARP,poly ADP ribose polymerase,
PAS,personal assistance service(s),
PAS,periodic acid-Schiff,
PASC,Post-Acute Sequelae of SARS-CoV-2 infection,
PASI,Psoriasis Area and Severity Index,
PASI100,100% reduction in Psoriasis Area and Severity Index score,
PASI50,50% reduction in Psoriasis Area and Severity Index score,
PASI75,75% reduction in Psoriasis Area and Severity Index score,
PASI90,90% reduction in Psoriasis Area and Severity Index score,
PAU,Penetrating Aortic Ulcer,
PAVET,Patient Assessment Validation Evaluation Test,
PAWP,pulmonary arterial wedge pressure,
PAWS,post-acute-withdrawal syndrome,
PBA,pseudobulbar affect,https://www.mayoclinic.org/diseases-conditions/pseudobulbar-affect/symptoms-causes/syc-20353737
PBC,primary biliary cholangitis,
PBIS,positive behavioral interventions and supports,
pBNP,NT-Pro B-Type Natriuretic Peptide,
PBP,penicillin-binding protein,
PBP,preoperative bowel preparation,
PBRT,proton beam radiation therapy,
PBS,pencil-beam scanning,https://en.wikipedia.org/wiki/Pencil-beam_scanning
PBS,phosphate-buffered saline,
PBT,perioperative blood transfusion,
PBT,proton beam therapy,
pc,after meals (post cibum),
PC1,polycystin 1,
PC2,polycystin 2,
PCA,posterior cortical atrophy,
PCA,patient controlled analgesia,
PCA,personal care aide,
PCA,Posterior Carotid Artery,
PCa,prostate cancer,
PCC,prothrombin complex,
PCCM,Pediatric Critical Care Medicine,
PCD,pneumatic compression device,
PCDAI,Pediatric Crohn's Disease Activity Index,
PCDH19,Protocadherin 19,
PCF,physician compounded foam,
PCF,pancreatic cyst fluid,
PCI,percutaneous coronary intervention,
PCI,prophylactic cranial irradiation,
PCKD,polycystic kidney disease,
PCL,posterior cruciate ligament,
PCNL,Percutaneous Nephrolithotomy,
PCNSL,primary central nervous system lymphoma,
pCO2,partial pressure of carbon dioxide,
PCOS,polycystic ovarian syndrome,
PCP,phenylcyclohexyl piperidine/phencyclidine,https://en.wikipedia.org/wiki/Phencyclidine
PCP,pneumocystis pneumonia,
PCP,primary care provider,
PCR,polymerase chain reaction,
PCR,pharyngeal constriction ratio,
PCR-RFLP,polymerase chain reaction–restriction fragment length polymorphism,
PCS,pelvic congestion syndrome,
PCSK9,proprotein convertase subtilisin kexin 9,
PCT,procalcitonin,
PCU,progressive care unit,
PCV,"Procarbazine Hydrochloride, Lomustine, Vincristine Sulfate",https://www.cancer.gov/about-cancer/treatment/drugs/pcv
PD,postural drainage,
PD,Parkinson's disease,
PD,Peritoneal Dialysis,
PD,pneumatic dilation,
PD,progressive disease,
PD-L1,programmed death-ligand 1,
PDA,patent ductus arteriosus,
PDA,posterior descending artery,
PDA,patent ductus arteriosus,
PDAC,"Pricing, Data Analysis, and Coding",
PDE,phosphodiesterase,
PDE4,phosphodiesterase 4,
PDE5,Phosphodiesterase-5 Inhibitor,
PDEF,Powder Effervescent,
PDGF,platelet derived growth factor,
PDGFRA,platelet derived growth factor receptor alpha,
PDI,pain disability index,
PDL,physical demand level,
PDMP,prescription drug monitoring program,https://www.cdc.gov/drugoverdose/pdmp/index.html
PDMS-2,Peabody Developmental Motor Scales-Second Edition,
PDN,private duty nursing,
PDO,patient derived organoid,
PDT,Photodynamic Therapy,https://www.cancer.gov/about-cancer/treatment/types/surgery/photodynamic-fact-sheet
PE,physical examination,
PE,pulmonary embolism,
PE,Pressure Equalizer,
PE-TLIF,percutaneous endoscopic transforaminal lumbar interbody fusion,
PEA,phosphoethanolamine ,
PEA,pulseless electrical activity,
PEAK,Promoting Emergence of Advanced Knowledge,
PEAK-DT,Promoting Emergence of Advanced Knowledge Direct Training,
PECARN,Pediatric Emergency Care Applied Research Network,
PECS,picture exchange communication system,
PED,pigment epithelial detachment,
PED,Persistent Epithelial Defect,
PED,paroxysmal exercise-induced dyskinesia,
PED,Pipeline Endovascular Device,
PEEK,polyaryletherketone,
PEEP,positive end expiratory pressure,
PEF,peak expiratory flow,
PEFR,peak expiratory flow rate,
PEG,percutaneous endoscopic gastrostomy,
PEG,polyethylene-glycol,
PEG-J,percutaneous endoscopic gastro-jejunal,
PEGylation,attachment of polyethylene glycol,https://en.wikipedia.org/wiki/PEGylation
PEJ,percutaneous endoscopic jejunostomy,
PEM,polidocanol endovenous microfoam,
PEMF,Pulsed Electromagnetic Field,
PEMS,Poult Enteritis and Mortality Syndrome,
PEN,Pen-injector,
PEP,positive expiratory pressure,
PEQ,Prosthesis Evaluation Questionnaire,
PErFecTED,"Proximal Embolization First, Then, Embolize Distal",
PeRP,platelet-enriched plasma,
PERRL,pupils equal round and reactive to light,
PERRLA,"pupils equal, round, and reactive to light and accommodation",
PERS,personal emergency response system,
PET,patulous Eustachian tube,
PET,positron emission tomography,
PEth,phosphatidylethanol,
PEWS,Pediatric Early Warning Score,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4300231/
PF,preservative-free,
PF,peak flow,
PFD,pediatric feeding disorder,
PFG,patient focus group,
PFH,plasma-free hemoglobin,
PFO,patent foramen ovale,
PFPT,pelvic floor physical therapy,
PFS,progression-free survival,
PFS6,progression-free survival at six months,
PFT,pulmonary function test,
PFU,plaque-forming unit,
pg,picogram,
PG,pyoderma gangrenosum,
pg/mL,picograms per milliliter,
PGA,Physician Global Assessment,
PGCG,peripheral giant cell granuloma,
PGD,preimplantation genetic diagnosis,
PGE2,prostaglandin E2,
PGP,protein gene product,
PGS,preimplantation genetic screening,
PGT,Preimplantation Genetic Testing,
PGT-A,Preimplantation Genetic Testing for Aneuploidy,
PGT-M,preimplantation genetic testing for monogenic disorder,
PH,pulmonary hypertension,
pH,potential of hydrogen,
Ph-,Philadelphia chromosome negative,
PHEIC,Public Health Emergency of International Concern,
PHI,Prostate Health Index,
PHMM,posterior horn of the medial meniscus,
PHN,postherpetic neuralgia,
PHP,partial hospitalization program,
PHQ,patient health questionnaire,
PHV,percutaneously implanted heart valve,
Pi,inorganic phosphate,
PI,pneumatosis intestinalis,
PI,protease inhibitor,
PI-RADS,Prostate Imaging Reporting and Data System,
PI3K,phosphoinositide 3-kinase,
PiB-PET,Pittsburgh compound B-positron emission tomography ,
PICA,posterior inferior cerebellar artery,
PICC,peripherally inserted central catheter,
PICO,"population, intervention, comparator, and outcomes",
PICOS,"Population, Intervention, Control, and Outcome Study",
PICU,pediatric intensive care unit,
PID,primary immunodeficiency,
PID,pelvic inflammatory disease,
PIDD,primary immunodeficiency disease,
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",https://medlineplus.gov/genetics/gene/pik3ca/
PIP,penile improvement protocol,
PIRFT,percutaneous intradiscal radiofrequency thermocoagulation,
PIVENS,Pioglitazone versus Vitamin E versus Placebo for the Treatment of Non-diabetic patients with Nonalcoholic steatohepatitis,
PiZ,protease inhibitor Z,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC304021/
PiZZ,protease inhibitor ZZ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418297/
pJIA,polyarticular Juvenile Idiopathic Arthritis,
PK,pharmacokinetic,
PKD,paroxysmal kinesigenic dyskinesia,
PKD,polycystic kidney disease,
PKD1,polycystic kidney disease 1,
PKP,penetrating keratoplasty,
PKR,Partial Knee Replacement,
PKU,phenylketonuria,
PL,posterolateral,
PLA,posterolateral ,
PLA,pigmented lesion assay,
PLA2R,Phospholipase A2 Receptor,
PLEX,plasma exchange,
PLIF,Posterior Lumbar Interbody Fusion,
PLLT,Pellet,
PLN,phospholamban,
PLOF,Prior Level of Function,
PLP,pyridoxal phosphate,
PLS-5,"Preschool Language Scale, Fifth edition",
PLT,platelets,
PLV,posterolateral ventricular,
PM,polymyositis,
PM,Pneumomediastinum,
pm,post meridiem,
PMA,pilomyxoid astrocytoma,
PMAT,plasma membrane monoamine transporter,
PMC,polymer-matrix composites,
PMDB,Prescription Monitoring Database,
PMH,progressive macular hypomelanosis,
PMH,past medical history,
PMI,point of maximum impulse (of the heart),
PML,progressive multifocal leukoencephalopathy,
PMN,Polymorphonuclear Leukocyte,
PMO,phosphorodiamidate morpholino oligomer,
PMP,pyridoxamine phosphate,
PMRT,postmastectomy radiation therapy,
PMV,prolonged mechanical ventilation,
PN,prurigo nodularis,
PN,Plexiform Neurofibroma,
PNA,pneumonia,
PNB,prostate needle biopsy,
PNC,penicillin,
PND,Paroxysmal Nocturnal Dyspnea,
PND,postnasal drainage,
PNES,psychogenic non-epileptic seizure,
PNET,primitive neuroectodermal tumor,
PNFS,peripheral nerve field stimulation,
PNH,Paroxysmal Nocturnal Hemoglobinuria,
PNI,peripheral nerve injury,
PNKD,paroxysmal non-kinesigenic dyskinesia,
PNKT,Pen-injector Kit,
PNS,peripheral nerve stimulation,
PO,by mouth/oral,
pO2,partial pressure of oxygen,
POAG,primary open-angle glaucoma,
POBA,plain old balloon angioplasty,
POC,post-operative complications,
POD,postoperative day,
POEM,Per-Oral Endoscopic Myotomy ,
POLG,"DNA polymerase gamma, catalytic subunit",https://medlineplus.gov/genetics/gene/polg/
POMC,proopiomelanocortin,
PONV,postoperative nausea and vomiting,
POP,pelvic organ prolapsed,
POTS,postural orthostatic tachycardia syndrome,
POU1F1,Pituitary-Specific Positive Transcription Factor 1,
POV,Power-Operated Vehicle,
POWD,Powder,
PP,per protocol,
PPBS,Post-Prandial Blood Sugar,
pPCI,primary percutaneous coronary intervention,
PPD,purified protein derivative,
PPE,personal protective equipment,
PPF,pterygopalatine fossa,
PPG,pterygopalatine ganglion,
PPH,Procedure for Prolapsed Hemorrhoids,
PPi,inorganic pyrophosphate,
PPI,protein-protein interaction,
PPI,proton pump inhibitor,
PpIX,protoporphyrin IX,
PPL,primary pancreatic lymphoma,
ppm,parts per million,
PPM,permanent pacemaker,
PPROM,preterm premature rupture of membranes,
PPS,posterior probability of superiority,
PPV,positive pressure ventilation,
PPV,positive predictive value,
ppx,prophylaxis,
PR,posterior repair,
PR,prolonged release,
PR,progesterone receptor,
PR,platelet reactivity,
PR,partial response,
PRAM,Pediatric Respiratory Assessment Measure,https://pubmed.ncbi.nlm.nih.gov/25176153/
PRBC,packed red blood cells,
PRC,platelet-rich concentrate,
PRCA,pure red cell aplasia,https://rarediseases.info.nih.gov/diseases/7504/pure-red-cell-aplasia
PRCoV,porcine respiratory coronavirus,
