Abbreviation/Shorthand,Meaning,More Info
Q4H,every four hours,
Q8H,every eight hours,
QABF,Questions About Behavioral Function,
QALY,Quality Adjusted Life Years,
QAM,every morning,
QC,quadrangular cartilage,
QD,every day/daily,
QH,every hour/hourly,
QHP,Qualified Healthcare Professional,
QHS,every night/nightly,
QID,four times per day,
QIDS-SR,Quick Inventory of Depressive Symptomatology-Self-Report,
QL,quantity limits,
Qmax,maximum urine flow rate,
QN,every night/nightly,
QOD,every other day,
QoL,quality of life,
qPCR,quantitative polymerase chain reaction,
QSM,quantitative susceptibility mapping,
qSOFA,quick sequential organ failure assessment,
QTc,corrected QT interval,
QTF-TB,QuantiFERON Tuberculosis,
QXH,every X hours,
R,right,
R-CHOP,"Rituximab, Cyclophosphamide, Hydroxydaunomycin, Oncovin, Prednisone",https://www.cancer.gov/about-cancer/treatment/drugs/r-chop
R-EPOCH,"Rituximab, Etoposide, Prednisolone, Oncovin, Cyclophosphamide, Hydroxydaunorubicin",
R/O,rule out,
R0,reproduction number,
RA,rheumatoid arthritis,
RA,right atrium,
RA,room air,
RA,rotational atherectomy,
RA-ILD,rheumatoid arthritis-interstitial lung disease,
rAAA,Ruptured Abdominal Aortic Aneurysm,
rAAVrh74,recombinant AAV serotype rh74,
RAC,recovery audit contractor,https://www.cms.gov/Research-Statistics-Data-and-Systems/Monitoring-Programs/Medicare-FFS-Compliance-Programs/Recovery-Audit-Program
RAD,reactive airway disease,
RAD51D,RAD51 Homolog D,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51D
RAE,right atrial enlargement,
RAF,Rapidly Accelerated Fibrosarcoma,
RAND/UCLA,Research and Development Corporation/University of California at Los Angeles,https://www.rand.org/health-care/surveys_tools/appropriateness.html
RANK,receptor activator of nuclear factor kappa-Β,
RANKL,Receptor activator of nuclear factor kappa-Β ligand,
RANO,Response Assessment in Neuro-oncology,
RANTES,"Regulated upon Activation, Normal T Cell Expressed and Presumably Secreted",
RAPID3,Routine Assessment of Patient Index Data 3,
Ras,rat sarcoma,
RAS,Renin-Angiotensin System,
RAS,resistance-associated substitution,
RasGEF,Ras guanine nucleotide exchange factor,
RB-IMRT,robustly optimized intensity-modulated radiation therapy,
RBAS,radiosurgery-based AVM score,
RBBB,right bundle branch block,
RBC,red blood cells,
RBC,red blood count,
RBD,receptor binding domain,
RBE,relative biological effectiveness,
RBT,registered behavioral technician,
RC,rotator cuff,
RC,radical cystectomy,
RC1,replication factor complex subunit 1,
RCA,right coronary artery,
RCC,renal cell carcinoma,
RCG,radiocardiography,
RCI,repository corticotropin injection,
RCM,refractory chronic migraine,
RCM,reflectance confocal microscopy,
RCS,Raynaud’s Condition Score,
RCT,randomized controlled trial,
RCT,rotator cuff tear,
RCU,respiratory care unit,
RCVP,"rituximab, cyclophosphamide, vincristine sulfate, prednisone",
RCVS,reversible cerebral vasoconstriction syndrome,
RD,retinal detachment,
RDF,roof-dependent flutter,
RDI,respiratory disturbance index,
RdRp,RNA-dependent RNA polymerase,
RDS,respiratory distress syndrome,
RDV,remdesivir,
REBOC,Radioembolization Brachytherapy Oncology Consortium,
RECIST,Response Evaluation Criteria in Solid Tumors,
REEL-4,Receptive-Expressive Emergent Language Test–Fourth Edition,
REM,rapid eye movement,
REMS,risk evaluation and mitigation strategy,
RERA,respiratory-effort related arousal,
RET,rearranged during transfection,
RETU,Rapid Evaluation and Treatment Unit,
RF,rheumatoid factor,
RF,risk factor,
RFA,radiofrequency ablation,
RFA,right femoral artery,
RFFP,radial forearm flap phalloplasty,
RFN,radiofrequency neurotomy,
RFP,red fluorescent protein,
RFS,Reflux Finding Score,
RFS,recurrence-free survival,
RFT,renal function test,
RFVTA,radiofrequency volumetric thermal ablation,
rGBM,recurrent glioblastoma multiforme,
Rh,rhesus factor,
rhAPC,recombinant human activated protein C,
RHC,rural health clinic,
rhGH,recombinant human growth hormone,
RI,resistance index,
RIC,radiation-induced change,
RICE,"Rituximab, Ifos­famide, Carbo­platin, Etopo­side",
RICE,"rest, ice, compression, elevation",
RIMA,right internal mammary artery,
RIOM,raditation-induced oral mucositis,
RIPC,remote ischaemic preconditioning,
RIPE,"Rifampin, Isoniazide, Pyrazinamide, and Ethambutol",
RIS,reflux injury score,
RITLS,Rossetti Infant-Toddler Language Scale,
RLE,right lower extremity,
RLF,Retrolental Fibroplasia,
RLL,right lower lobe,
RLQ,right lower quadrant,
RLS,restless leg syndrome,
RML,right middle lobe,
RMS,relapsing multiple sclerosis,
RNA,ribonucleic acid,
RNFL,retinal nerve fiber layer,
RNI,regional nodal irradiation,
RNP,ribonucleoprotein,
ROC,receiver operating characteristic,
ROHHAD,"rapid-onset obesity with hypothalamic dysregulation, hypoventilation, and autonomic dysregulation",https://rarediseases.info.nih.gov/diseases/10407/rohhad
ROM,range of motion,
ROM,rupture of membranes,
ROPES,Repetitive Obstacle Performance Evaluation System,
ROS,review of systems,
ROS,reactive oxygen species,
ROS1,"ROS Proto-Oncogene 1, Receptor Tyrosine Kinase",https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROS1
ROSAH,"retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis and migraine headache",
ROSC,return of spontaneous circulation,
RP,radiation pneumonitis,
RP,retinitis pigmentosa ,
RP,Raynaud's phenomenon,
RP PCR,respiratory polymerase chain reaction,
RPDA,right posterior descending coronary artery,
RPE,retinal pigment epithelium,
RPG,Retrograde Pyelogram,
RPL,recurrent pregnancy loss,
RPLV,right posterolateral ventricular branch,
RPP,Respiratory Pathogen Panel,
RPR,rapid plasma reagin,
RPT,Rifapentine,
RR,recovery room,
RR,response rate,
RR,risk ratio,
RR,respiratory rate,
RR,relative risk,
RRR,regular rate and rhythm,
