Abbreviation/Shorthand,Meaning,More Info
S-MAPA,Simple-Measure for Assessing Psoriasis Activity,https://pubmed.ncbi.nlm.nih.gov/26475541/
S/P,status post,
S1,first sacral vertebra,
S2,second sacral vertebra,
S3,third sacral vertebra,
S4,fourth sacral vertebra,
S5,fifth sacral vertebra,
SA,sphenopalatine artery,
SA,sinoatrial,
SAAG,serum-ascites albumin gradient,
SAB,spontaneous abortion,
sAb,surface antibody,
SABR,spontaneous abortion rate,
SABR,stereotactic ablative radiotherapy,
SABR-COMET,Stereotactic Ablative Radiotherapy for the Comprehensive Treatment of Oligometastases,
SACH,"solid ankle, cushioned heel",
SAD,seasonal affective disorder,
SAE,serious adverse event,
SAEF,Secondary Aortoenteric Fistula,
sAg,surface antigen,
SAGES,Society of American Gastrointestinal and Endoscopic Surgeons,
SAH,Subarachnoid Hemorrhage,
SALT,Severity of Alopecia Tool,
SAMe,S-adenosylmethionine,
SaO2,arterial oxygen saturation,
SAR,subacute rehabilitation,
SARI,Severe Acute Respiratory Infections,
SARS,severe acute respiratory syndrome,
SARS-CoV,severe acute respiratory syndrome coronavirus,
SARS-CoV-2,Severe Acute Respiratory Syndrome Coronavirus-2 Virus,
sat,saturation,
SAVR,surgical aortic valve replacement,
SB,small bowel,
SBE,subacute bacterial endocarditis,
SBFT,small bowel follow through,
SBM,spontaneous bowel movement,
SBO,small bowel obstruction,
SBP,spontaneous bacterial peritonitis,
SBP,systolic blood pressure,
SBRT,Stereotactic Body Radiation Therapy,
SC,subcutaneous,
SC,Sydenham chorea,
SCA,sudden cardiac arrest,
SCA,superior cerebellar artery,
SCAI,Society for Cardiovascular Angiography & Interventions,https://scai.org/
SCAR,severe cutaneous adverse reaction,
SCC,squamous cell carcinoma,
SCD,sudden cardiac death,
SCEP,spinal cord evoked potentials,
SCI,spinal cord injury,
SCID,Severe Combined Immune Deficiency,
SCIg,subcutaneous immunoglobulin,
SCS,spinal cord stimulator,
SCT,specialty care transport,
SCT,stem cell transplantation,
SCU,special care unit,
SD,stable disease,
SD,standard deviation,
SDB,sleep disordered breathing,
SDH,subdural hematoma,
SDS,standard deviation score,
SDVP,Single Deepest Vertical Pocket,
SEC,spontaneous echo contrast,
SEC,squamous epithelial cell,
SECD,Swine Enteric Coronavirus Disease,
Segs,segmented neutrophils,
sEMG,surface electromyography,
SEMLS,single-event multilevel surgery,
SEP,somatosensory evoked potential,
SERM,selective-estrogen receptor modulator,
SES-CD,Simple Endoscopic Score for Crohn Disease,
SFA,superficial femoral artery,
SG,sleeve gastrectomy,
SGLT-2,sodium-glucose cotransporter-2,
SGOT,serum glutamic oxaloacetic transaminase,
SGPT,serum glutamic pyruvic transaminase,
SHBG,Sex Hormone Binding Globulin,
SHF,systolic heart failure,
SHM,sporadic hemiplegic migraine,
SI,sacroiliac,
SI,suicidal ideation,
SIB,simultaneous integrated boost,
SIBO,small intestinal bacterial overgrowth,
SICU,surgical intensive care unit,
SIDS,sudden infant death syndrome,
SIJ,sacroiliac joint,
sIMRT,simplified intensity-modulated radiation therapy,
SIMV,synchronized intermittent mandatory ventilation,
siRNA,small interfering RNA,
SIRS,Systemic Inflammatory Response Syndrome,
SIRT,selective internal radiation therapy,
SL,stool lactoferrin,
SL,sublingual,
SLAP,Superior Labrum Anterior and Posterior,
SLE,systemic lupus erythematosus,
SLNB,sentinel lymph node biopsy,
SLP,speech and language pathology,
SLR,straight leg raise,
SLRT,Straight Leg Raising Test,
SM,superficial masseter,
SM,self massage,
SM grade,Spetzler-Martin grade,
SMA,smooth muscle antibody,
SMA,spinal muscular atrophy,
SMA,Superior Mesenteric Artery,
SMAD-2,mothers against decapentaplegic homolog 2,https://en.wikipedia.org/wiki/Mothers_against_decapentaplegic_homolog_2
SMART,Self-Management and Recovery Training,
SMART,Sepsis Management Alert Response Team,
SMART,simultaneous accelerated radiation therapy,
SMBG,Self-Monitoring of Blood Glucose,
SMFM,Society for Maternal‐Fetal Medicine,https://www.smfm.org/
SMILE,submucosal minimally invasive lingual excision,
SMX-TMP,sulfamethoxazole-trimethoprim,
SNC1,serum nadir creatinine level in the first year of life,
SND,sinus node dysfunction,
SNF,skilled nursing facility,
SNHL,sensorineural hearing loss,
SNP,Single Nucleotide Polymorphism,
SNRI,serotonin-norepinephrine reuptake inhibitor,
SNV,single nucleotide variant,
SOAP,"subjective, objective, assessment, plan",
SOB,shortness of breath,
SOCS,suppressors of cytokine signaling,
SOD,sinus ostial dilation,
SOS,Son of Sevenless,
SOT,solid organ transplant,
SPCCT,spectral photon-counting CT,
SPECT,single photon emission computed tomography,
SpO2,pulse oximetry,https://en.wikipedia.org/wiki/Pulse_oximetry
SPS,stimulated parotid salivary,
SQ,subcutaneous,
SR,systematic review,
SR,survival rate,
SR,sinus rhythm,
SR,sustained release,
SRAAA,Suprarenal Abdominal Aortic Aneurysm,
SRBD,sleep related breathing disorders,
SROM,spontaneous rupture of membranes,
