Abbreviation/Shorthand,Meaning,More Info
S/P,status post,
S1,first sacral vertebra,
S2,second sacral vertebra,
S3,third sacral vertebra,
S4,fourth sacral vertebra,
S5,fifth sacral vertebra,
SA,sphenopalatine artery,
SA,sinoatrial,
SAAG,serum-ascites albumin gradient,
SAB,spontaneous abortion,
sAb,surface antibody,
SABR,spontaneous abortion rate,
SABR-COMET,Stereotactic Ablative Radiotherapy for the Comprehensive Treatment of Oligometastases,
SACH,"solid ankle, cushioned heel",
SAD,seasonal affective disorder,
SAE,serious adverse event,
SAEF,Secondary Aortoenteric Fistula,
sAg,surface antigen,
SAGES,Society of American Gastrointestinal and Endoscopic Surgeons,
SAH,Subarachnoid Hemorrhage,
SALT,Severity of Alopecia Tool,
SAMe,S-adenosylmethionine,
SaO2,arterial oxygen saturation,
SARI,Severe Acute Respiratory Infections,
SARS,severe acute respiratory syndrome,
SARS-CoV,severe acute respiratory syndrome coronavirus,
SARS-CoV-2,Severe Acute Respiratory Syndrome Coronavirus-2 Virus,
sat,saturation,
SAVR,surgical aortic valve replacement,
SB,small bowel,
SBE,subacute bacterial endocarditis,
SBFT,small bowel follow through,
SBM,spontaneous bowel movement,
SBO,small bowel obstruction,
SBP,spontaneous bacterial peritonitis,
SBP,systolic blood pressure,
SBRT,Stereotactic Body Radiation Therapy,
SC,subcutaneous,
SC,Sydenham chorea,
SCA,sudden cardiac arrest,
SCA,superior cerebellar artery,
SCAR,severe cutaneous adverse reaction,
SCC,squamous cell carcinoma,
SCD,sudden cardiac death,
SCEP,spinal cord evoked potentials,
SCI,spinal cord injury,
SCID,Severe Combined Immune Deficiency,
SCIg,subcutaneous immunoglobulin,
SCS,spinal cord stimulator,
SCT,specialty care transport,
SCT,stem cell transplantation,
SCU,special care unit,
SD,stable disease,
SD,standard deviation,
SDB,sleep disordered breathing,
SDH,subdural hematoma,
SDS,standard deviation score,
SEC,spontaneous echo contrast,
SEC,squamous epithelial cell,
SECD,Swine Enteric Coronavirus Disease,
sEMG,surface electromyography,
SEMLS,single-event multilevel surgery,
SEP,somatosensory evoked potential,
SERM,selective-estrogen receptor modulator,
SES-CD,Simple Endoscopic Score for Crohn Disease,
SFA,superficial femoral artery,
SG,sleeve gastrectomy,
SGLT-2,sodium-glucose cotransporter-2,
SGOT,serum glutamic oxaloacetic transaminase,
SGPT,serum glutamic pyruvic transaminase,
SHBG,Sex Hormone Binding Globulin,
SHM,sporadic hemiplegic migraine,
SI,sacroiliac,
SI,suicidal ideation,
SIBO,small intestinal bacterial overgrowth,
SIDS,sudden infant death syndrome,
SIJ,sacroiliac joint,
SIMV,synchronized intermittent mandatory ventilation,
siRNA,small interfering RNA,
SIRS,Systemic Inflammatory Response Syndrome,
SIRT,selective internal radiation therapy,
SL,stool lactoferrin,
SL,sublingual,
SLE,systemic lupus erythematosus,
SLNB,sentinel lymph node biopsy,
SLP,speech and language pathology,
SLRT,Straight Leg Raising Test,
SM,superficial masseter,
SM,self massage,
SM grade,Spetzler-Martin grade,
SMA,smooth muscle antibody,
SMA,spinal muscular atrophy,
SMA,Superior Mesenteric Artery,
SMART,Self-Management and Recovery Training,
SMART,Sepsis Management Alert Response Team,
SMBG,Self-Monitoring of Blood Glucose,
SMFM,Society for Maternal‐Fetal Medicine,https://www.smfm.org/
SMILE,submucosal minimally invasive lingual excision,
SMX-TMP,sulfamethoxazole-trimethoprim,
SNC1,serum nadir creatinine level in the first year of life,
SND,sinus node dysfunction,
SNF,skilled nursing facility,
SNHL,sensorineural hearing loss,
SNP,Single Nucleotide Polymorphism,
SNRI,serotonin-norepinephrine reuptake inhibitor,
SNV,single nucleotide variant,
SOAP,"subjective, objective, assessment, plan",
SOB,shortness of breath,
SOCS,suppressors of cytokine signaling,
SOD,sinus ostial dilation,
SOS,Son of Sevenless,
SOT,solid organ transplant,
SPCCT,spectral photon-counting CT,
SPECT,single photon emission computed tomography,
SpO2,pulse oximetry,https://en.wikipedia.org/wiki/Pulse_oximetry
SQ,subcutaneous,
SR,survival rate,
SR,sinus rhythm,
SR,sustained release,
SRAAA,Suprarenal Abdominal Aortic Aneurysm,
SRBD,sleep related breathing disorders,
SROM,spontaneous rupture of membranes,
SRP,signal recognition peptide,
SRS,stereotactic radiosurgery,
SRT,superficial radiation therapy,
SRT,septal reduction therapy,
SSD,splice-site disruptions,
SSED,summary of safety and effectiveness data,
SSEP,spinal somatosensory evoked potential,
SSI,supplemental security income,
SSI,surgical site infection,
SSIS,Social Skills Improvement System,
SSNHL,sudden sensorineural hearing loss,
SSPT,spot-scanning proton therapy,
SSR,showed sinus rhythm,
SSRI,selective serotonin reuptake inhibitor,
SSTI,skin and soft tissue infection,
SSZ,sulfasalazine,
ST,stent thrombosis,
STAT,signal transducer and activator of transcription,
STD,sexually transmitted disease,
STEC,Shiga toxin–producing E. coli,
STEMI,ST elevation myocardial infarction,
STI,sexuallty transmitted infection,
STOPAH,Steroids or Pentoxifylline for Alcoholic Hepatitis,
STRN,Soft tissue radionecrosis,
STS,serologic test for syphilis,
STS,soft tissue sarcoma,
STS,Society of Thoracic Surgeons,
STSG,Split Thickness Skin Graft,
SUD,substance use disorder,
SUVmax,Maximum Standard Uptake Value,
SVC,superior vena cava,
SVD,small-vessel disease,
SVD,single vessel disease,
SVD,spontaneous vaginal delivery,
SVG,saphenous vein graft,
SVR,sustained virologic response,
SVT,supraventricular tachycardia,
SW,social work,
SW,stab wound,
SWI,Susceptibility Weighted Imaging,
SWS,Sturge–Weber syndrome,
Sx,symptoms,
T,temperature,
T Bili,total bilirubin,
t-EMG,triggered EMG,
t-MeHa,tele‐methylhistamine,
T-PLL,T-Cell Prolymphocytic Leukemia,
T&A,tonsillectomy and adenoidectomy,
T0,Tumor stage - Main tumor cannot be found,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T1,Stage 1 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T1,first thoracic spine vertebra,
T1,prostate cancer nonpalpable and not identified in imaging,https://www.hopkinsmedicine.org/health/conditions-and-diseases/prostate-cancer/prostate-cancer-stages
T10,tenth thoracic spine vertebra,
T11,eleventh thoracic spine vertebra,
T12,twelfth thoracic spine vertebra,
T1c,nonpalpable prostate cancer diagnosed by needle biopsy,https://pubmed.ncbi.nlm.nih.gov/12500852/
T1DM,type 1 Diabetes Mellitus,
T2,Stage 2 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T2,second thoracic spine vertebra,
T2DM,type 2 Diabetes Mellitus,
T3,Triiodothyronine,
T3,Stage 3 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T3,third thoracic spine vertebra,
T4,Thyroxine,
T4,Stage 4 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T4,fourth thoracic spine vertebra,
T5,fifth thoracic spine vertebra,
T6,sixth thoracic spine vertebra,
T7,seventh thoracic spine vertebra,
T8,eighth thoracic spine vertebra,
T9,ninth thoracic spine vertebra,
TA,tibialis anterior,
TAAA,Thoracoabdominal Aortic Aneurysm,
TAH,total abdominal hysterectomy,
TALEN,transcription activator-like effector nuclease,
TAVI,transcatheter aortic valve implantation,
TAVR,transcatheter aortic valve replacement,
TB,tuberculosis,
TB,temporal bone,
TBI,traumatic brain injury,
TBS,tris buffered saline,
TCA,tricyclic antidepressant,
TCAD,transplant coronary artery disease,
TCAR,transcarotid artery revascularization,
TCC,Transitional Cell Carcinoma,
TCR,T cell receptor,
TCS,template consensus sequence,
TCT,thinnest corneal thickness,
Tdap,"tetanus, diptheria, and tetanus",
TDM,therapeutic drug monitoring,
TEE,transesophageal echocardiogram,
TEM,Effector memory T,
TEM,Transanal Endoscopic Microsurgery,
TENS,transcutaneous electrical nerve stimulation,
TEP,tumor educated platelet,
TF,tissue factor,
TFA,transcervical fibroid ablation,
TFCAS,transfemoral carotid artery stenting,
TFI,transfemoral intervention,
TFNE,transient focal neurological episode,
TG,triglycerides,
TG,trigeminal ganglion,
TGEV,transmissible gastroenteritis virus,
TGFβ,transforming growth factor beta,
TGFβ3,transforming growth factor β3,
TGI,tracheal gas insufflation,
THA,total hip arthroplasty,
THC,tetrahydrocannabinol,
THR,total hip replacement,
TIA,transient ischemic attack,
TIBC,total iron-binding capacity,
TID,three times per day,
TIMI,thrombolysis in myocardial infarction,
TIPS,transjugular intrahepatic portosystemic shunt,
TIV,tumor in vein,
TKA,total knee arthroplasty,
TKI,Tyrosine Kinase Inhibitor,
TKO,to keep open,
TKR,total knee replacement,
TLH,total laparoscopic hysterectomy,
TLIF,Transforaminal Lumbar Interbody Fusion,
TLR,Toll‐like receptors,
TLSO,thoracic-lumbar-sacral orthotic,
TM,transformed migraine,
TM,tectorial membrane,
TM,tympanic membrane (eardrum),
TM,temporalis muscle,
TMA,transmetatarsal amputation,
tMax,temperature maximum,
TMB,tumor mutational burden,
TMEM43,transmembrane protein 43,
TMJ,temporomandibular joint,
TMN,tuberomammillary nucleus,
TMP-SMX,trimethoprim-sulfamethoxazole,
TMR,Transmyocardial Revascularization,
TMS,transcranial magnetic stimulation,
TN,trigeminal neuralgia,
TN,true negative,
TNB,trigeminal nerve block,
TNE,transnasal esophagoscopy,
TNF,tumor necrosis factor,
TNF-α,tumor necrosis factor alpha,
TNFi,tumor necrosis factor inhibitor,
TNM,Tumor-Node-Metastasis,
TNTC,too numerous to count,
TOF,tetralogy of fallot,
TONIC,treatment of nonalcoholic fatty liver disease in children,
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes",
TP,total protein,
TP,true positive,
tPA,tissue plasminogen activator,
TPA,total parenteral alimentation,
TPE,therapeutic plasma exchange,
TPN,Total Parenteral Nutrition,
TPO,thrombopoietin,
TPR,"temperature, pulse, respiration",
tPSA,total prostate specific antigen,
TRALI,transfusion-related acute lung injury,
TRD,tongue retaining device,
TRESK,TWIK-related spinal cord potassium channel,
TRI,trans-radial intervention,
TRM,resident memory T,
TRM,tissue-resident memory,
TRP,treatment-related pneumonitis,
TRP,transient receptor potential,
TRS,transcription regulatory sequence,
TRUS,Transrectal Ultrasound,
TSH,thyroid stimulating hormone,
TSS,therapeutic staff support,
TSS-NS,therapeutic staff support non-school,
TSS-S,therapeutic staff support in school,
tSSS,transformed Symptom Severity Score,
TTB,total toxicity burden,
TTE,Transthoracic Echocardiogram,
TTF,tumor treating fields,
TTP,tender to palpitation,
TTP,Thrombotic Thrombocytopenic Purpura,
TTP,tissue tolerable plasmas,
TTS,temporary threshold shift,
TTS,through-the-scope,
TURBT,Transurethral Resection of Bladder Tumor,
TURP,transurethral resection of prostate gland,
TVC,true vocal cord,
TVF,target vessel failure,
TVP,transvenous pacemaker,
TVR,Tricuspid Valve Replacement,
TVUS,Transvaginal Ultrasound,
