Abbreviation/Shorthand,Meaning,More Info
T,temperature,
T Bili,total bilirubin,
T-DXd,trastuzumab deruxtecan,
t-EMG,triggered EMG,
t-MeHa,tele‐methylhistamine,
T-PLL,T-Cell Prolymphocytic Leukemia,
T-VASI,total body Vitiligo Area Scoring Index,
T-VASI50,50% improvement in total body Vitiligo Area Scoring Index,
T&A,tonsillectomy and adenoidectomy,
T0,Tumor stage - Main tumor cannot be found,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T1,Stage 1 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T1,first thoracic spine vertebra,
T1,prostate cancer nonpalpable and not identified in imaging,https://www.hopkinsmedicine.org/health/conditions-and-diseases/prostate-cancer/prostate-cancer-stages
T10,tenth thoracic spine vertebra,
T11,eleventh thoracic spine vertebra,
T12,twelfth thoracic spine vertebra,
T12A,Tablet ER 12 Hour Abuse-Deterrent,
T1c,nonpalpable prostate cancer diagnosed by needle biopsy,https://pubmed.ncbi.nlm.nih.gov/12500852/
T1DM,type 1 Diabetes Mellitus,
T1W,T1 weighted (spin lattice relaxation time),https://radiopaedia.org/articles/t1-weighted-image
T2,spin-spin relaxation time,https://en.wikipedia.org/wiki/T2*-weighted_imaging
T2,time constant T2,https://radiopaedia.org/articles/t2-relaxation?lang=us
T2,Stage 2 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T2,second thoracic spine vertebra,
T24A,Tablet ER 24 Hour Abuse-Deterrent,
T2DM,type 2 Diabetes Mellitus,
T2PK,Tablet ER 12 Hour Therapy Pack,
T2W,T2 weighted (spin spin relaxation time),https://radiopaedia.org/articles/t2-weighted-image
T3,Triiodothyronine,
T3,Stage 3 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T3,third thoracic spine vertebra,
T4,Thyroxine,
T4,Stage 4 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T4,fourth thoracic spine vertebra,
T4PK,Tablet ER 24 Hour Therapy Pack,
T5,fifth thoracic spine vertebra,
T6,sixth thoracic spine vertebra,
T7,seventh thoracic spine vertebra,
T8,eighth thoracic spine vertebra,
T9,ninth thoracic spine vertebra,
TA,tibialis anterior,
TA,transverse abdominus,
TAAA,Thoracoabdominal Aortic Aneurysm,
TABA,Tablet Abuse-Deterrent,
TABS,tablet,
TAC1,Tachykinin Precursor 1,
TACC3,transforming acidic coiled coil-containing protein 3,
TACE,transarterial chemoembolization ,
TAH,total abdominal hysterectomy,
TAHBSO,Total Abdominal Hysterectomy and Bilateral Salpingo-Oophorectomy,
TALEN,transcription activator-like effector nuclease,
TAMP,Tampon,
TAV,Tidal Assist Ventilator,
TAVI,transcatheter aortic valve implantation,
taVNS,transcutaneous auricular vagus nerve stimulation,
TAVR,transcatheter aortic valve replacement,
TB,tuberculosis,
TB,temporal bone,
TB12,Tablet Extended Release 12 HR,
TB24,Tablet Extended Release 24 HR,
TB3D,Tablet Disintegrating Soluble,
TB3E,Tablet Disintegrating Soluble ER,
TBCR,Tablet Extended-Release,
TBDD,Tablet Delayed Release Disintegrating,
TBDP,Tablet Disintegrating,
TBEA,Tablet Extended Release Abuse-Deterrent,
TBEC,Tablet Delayed Release,
TBED,Tablet Extended Release Disintegrating,
TBEF,Tablet Effervescent,
TBI,total body irradiation,
