Abbreviation/Shorthand,Meaning,More Info
U,units,
UA,urinalysis,
UAE,uterine artery embolization,
UAS,Uniform Assessment System,
UAS,upper airway stimulation,
UAS,urticaria activity score,
UAS7,7-day urticaria activity score,
UB,upper body,
UC,urothelial carcinoma,
UC,ulcerative colitis,
UCBL,University of California Berkeley Laboratories Shoe Insert,
UCVA,uncorrected visual acuity,
UCx,urine culture,
UDCA,Ursodeoxycholic Acid,
UDS,urine drug screen,
UDS,urodynamic study,
UDT,urine drug test,
UDVA,uncorrected distance visual acuity,
UE,unplanned extubation,
UF,ultrafiltration,
UFE,uterine fibroid embolization,
UGFS,ultrasound guided foam sclerotherapy,
UGI,upper gastrointestinal,
UGIB,upper gastrointestinal bleeding,
UHCT,unenhanced helical computed tomography,
UIP,usual interstitial pneumonia,
ul,microliter,
UL,upper left,
ULC,upper lateral cartilage,
ULN,upper limits of normal,
UM,uveal melanoma,
UMEC,umeclidinium,
UNE,ulnar neuropathy at the elbow,
UNOS,United Network for Organ Sharing,http://unos.org/
UO,urinary output,
UPCR,urine protein/creatinine ratio,
UPD,uniparental disomy,
upE,region upstream of the E gene,
UPEP,Urine Protein Electrophoresis,
UPF,uvulopalatal flap,
UPJ,Ureteropelvic Junction,
UPPP,uvulopalatopharyngoplasty,
UR,upper right,
URAT1,urate transporter 1,
URI,upper respiratory infection,
URR,urea reduction ratio,
US,ultrasound,
uSAID,undifferentiated Systemic Autoinflammatory Disease,
USD,uncontrolled systemic disease,
USH1,Usher Syndrome Type 1,
USH2,Usher Syndrome Type 2,
USH3,Usher Syndrome Type 3,
USOH,usual state of health,
USPSTF,US Preventive Services Task Force,
UST,ustekinumab,
UTI,urinary tract infection,
UTM,universal transport medium,
UTUC,upper tract urothelial carcinoma,
UUT,upper urinary tract,
UV,ultraviolet,
UVA,univariate analysis,
UVR,ultraviolet radiation,
V/Q,ventilation/perfusion,
V1,ophthalmic nerve,
V1,prevertebral segment of vertebral artery,
V10,volume receiving 10 gray,
V2,maxillary nerve,
V2,intervertebral segment of vertebral artery,
V20,volume receiving 20 gray,
V3,atlas loop segment of vertebral artery,
V3,mandibular nerve,
