Abbreviation/Shorthand,Meaning,More Info
M/H,medical history,
M/R/G,"murmurs, rubs, gallops",
M0,Cancer has not spread to other parts of the body,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
M1,Cancer has spread to other parts of the body,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
MA,migraine with aura,
MA,maxillary artery,
MAA,Mycotic Aortic Aneurysm,
mAbs,monoclonal antibodies,
MAC,Mycobacterium avium complex,
MAC,monitored anesthesia care,
MACE,major adverse cardiac events,
MACI,matrix autologous chondrocyte implant ,
MACS,Manual Ability Classification System,
MADRS,Montgomery–Åsberg Depression Rating Scale,
MAF,mitral annular flutter,
MAG,myelin-associated glycoprotein,
MAI,Mycobacterium avium-intracellulare infection,
MALT,mucosa-associated lymphoid tissue,
mane,in the morning,
MAO-B,monoamine oxidase B,
MAP,mean arterial pressure,
MAPK,mitogen-activated protein kinase,
MAR,melanoma-associated retinopathy,
MARS,molecular absorbents recirculation system,
MASCC,Multinational Association for Supportive Care,
Mb,myoglobin,
MB,microbleed,
MCA,middle cerebral artery,
MCB,monochlorobimane,
MCFC,middle cheek fat compartment,
MCH,mean corpuscular hemoglobin,
MCHC,mean corpuscular hemoglobin concentration,
MCII,minimum clinically important improvement,
MCL,medial collateral ligament,
MCM,major congenital malformation,
mCRPC,metastatic castration-resistant prostate cancer,
MCTD,mixed connective tissue disease,
MCTD,Mixed Connective Tissue Disease,
MCV,mean corpuscular volume,
MD,muscular dystrophy,
MDD,minimally detectable difference,
MDD,major depressive disorder,
MDE,minimum detectable effect,
MDF,Maddrey discriminant function,
MDI,metered dose inhaler,
MDR,multidrug-resistant,
MDS,myelodysplastic syndrome,
MECC,Minimal Extracorporeal Circulation,
MELAS,"mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes",
MELD,Model for End Stage Liver Disease,
MELS,modular extracorporeal liver support system,
MEP,motor evoked potential,
MERRF,myoclonic epilepsy with ragged red fibers,
MERS,Middle East Respiratory Syndrome,
MERS-CoV,Middle East Respiratory Syndrome Coronavirus,
MET,motivational enhancement therapy,
MET,Metabolic Equivalent,
MF,mandibular fossa,
MF,malar fat,
MFC,medial femoral condyle,
MFS,metastasis-free survival,
Mg,magnesium,
mg,milligram,
MG,myasthenia gravis,
mg/dL,milligrams per deciliter,
MGMT,O[6]-methylguanine-DNA methyltransferase,
MgSO4,Magnesium Sulfate,
MgSO₄,Magnesium sulfate,
MHOP,mental health outpatient services,
MHV,mouse hepatitis virus,
MHV,Murine Hepatitis Virus,
MHz,megahertz,
MI,myocardial infarction,
MIC,minimum inhibitory concentration,
MID,minimal important difference,
midi,midday,
MILD,minimally invasive lumbar decompression,
MIP,molecular inversion probe,
ML,Microlaryngoscopy,
mLAP,mean left atrial pressure,
MLD,manual lymphatic drainage,
MM,multiple myeloma,
mmHg,millimeter of mercury,
MMLV,Moloney murine leukemia virus,
MMLV-RT,Moloney murine leukemia virus reverse transcriptase,
MMN,multi-focal motor neuropathy,
MMSE,mini-mental state examination,
MMTP,Methadone Maintenance Treatment Program,
MN,midnight,
MO,morbid obesity,
MO,migraine without aura,
MOA,mechanism of action,
MODQ,Modified Oswestry Disability Questionnaire,
MOG,myelin oligodendrocyte glycoprotein,
MOH,medication overuse headache,
MOI,multiplicity of infection,
MOM,milk of magnesia,
MOSF,multiple organ system failure,
MP,mastoid process,
MP-NAAT,multiplex nucleic acid amplification test,
mPCR,multiplex polymerase chain reaction,
MPD,myofascial pain-dysfunction,
MPFL,Medial patellofemoral ligament,
MPH,methylphenidate,
MPJ,Metatarsal Phalangeal Joint,
MPL,Medial Patella Luxation,
MPN,myeloproliferative neoplasm,
MPNST,malignant peripheral nerve sheath tumor,
Mpro,main protease,
MR,mental retardation,
MR,mitral regurgitation,
MR-proADM,mid-regional pro-adrenomedullin,
MR-SWI,magnetic resonance-susceptibility weighted imaging,
MRA,magnetic resonance angiography,
MRA,mandibular repositioning appliance,
MRADL,mobility-related activity of daily living,
MRC,mitochondrial respiratory chain,
MRCP,Magnetic Resonance Cholangiopancreatogram,
MRCP,mental retardation with cerebral palsy,
MRD,margin to reflex distance,
